X;ArtTP1;ArtTP2;ArtTP3;ArtTP4;ArtTP5;ArtTP1c;ArtTP2c;ArtTP3c;ArtTP4c;ArtTP5c
PF3D7_0100100;-0.728;-0.1565;-0.7295;-0.55525;-0.2375;-0.89525;-0.26725;-0.35025;-0.76;-0.53575
PF3D7_0100200;-0.791;0.423;2.269;4.043;2.879;-0.695;0.297;-0.108;0;0.093
PF3D7_0100300;-2.6155;-0.864;-1.8235;-0.7405;-0.9695;-2.066;-1.673;-2.133;-2.5465;-1.3895
PF3D7_0100400;-1.3685;-0.0145;1.6405;2.3835;1.8795;-0.456;-0.2425;-0.3555;-0.667;-0.405
PF3D7_0100500;-1.672;-1.848;-0.848;0.044;-0.69;-1.585;-1.28;-0.661;-0.485;-0.848
PF3D7_0100600;-2.248;-1.152;-0.656;-0.188;-0.278;-1.131;-1.177;-1.585;-0.692;-0.669
PF3D7_0100800;-0.531;-0.166;-0.359;-0.021;-0.163;-0.87;0.156;-0.354;-0.224;-0.163
PF3D7_0100900;-0.02;0.882;-0.5;0.072;-0.209;-0.029;0.237;-0.071;-0.414;-0.404
PF3D7_0101000;-0.974;-0.492;-0.451;-0.174;-0.129;-0.336;-1.284;-0.778;-0.637;-0.605
PF3D7_0101300;-1.052;-0.78;-0.363;-0.376;0.127;-1.212;-0.189;-0.584;-0.293;0.285
PF3D7_0101400;-0.845;0.675;0.076;0.28;0.528;-0.956;0.499;0.115;-0.151;0.427
PF3D7_0101500;-0.953;-0.545;-0.307;0.092;0.2815;-1.4015;-0.225;-0.5545;-0.568;-0.3595
PF3D7_0101600;-1.826;-0.63;-0.415;0.35;0.406;-0.807;0.135;-0.436;-0.705;0.013
PF3D7_0101800;-0.391;0.215;-1.923;-0.659;-0.585;-1.375;-0.721;-0.705;-1.948;-2.089
PF3D7_0102000;-1.322;-1.294;-1.427;-1;-0.714;-1.678;-0.722;-1.322;-1.373;-0.018
PF3D7_0102100;-1.333;-0.864;-0.967;-0.914;-1.519;-1.1;-0.048;-0.515;-0.907;-0.17
PF3D7_0102200;-4.6565;-3.3425;-3.123;-1.7565;-1.3415;-4.423;-3.5675;-3.0465;-1.096;0.7855
PF3D7_0102300;-0.022;-0.201;-0.167;-0.491;-0.524;-0.201;0.55;-0.222;-0.598;-1.046
PF3D7_0102400;-1.097;0.804;1.382;1.327;1.174;0.569;0.637;0.686;0.515;0.642
PF3D7_0102500;-5.03;-3.44733333333333;-1.23466666666667;-1.04866666666667;-1.19633333333333;-5.125;-3.70333333333333;-1.26;0.629333333333333;1.39433333333333
PF3D7_0102600;-2.2385;-0.649;-0.446;-0.033;-0.5635;-2.1705;-1.1845;-1.2585;-1.711;-1.248
PF3D7_0102700;-2.543;-1.108;-0.056;0.869;0.485;-3.255;-2.024;-1.192;-1.062;-0.119
PF3D7_0102800;0.0955;0.8215;0.6155;0.298;-0.067;-0.5625;0.693;0.0405;0.0525;-0.521
PF3D7_0102900;-0.7425;-1.2285;-0.934;-0.5625;-1.1305;-0.401;-0.237;-0.843;-1.218;-1.087
PF3D7_0103000;0.578;0.251;0.09;0.295;0.396;0.342;0.859;0.882;0.378;-0.146
PF3D7_0103100;-0.318333333333333;0.740333333333333;1.13466666666667;1.61233333333333;0.999;0.871333333333333;0.847666666666667;0.805666666666667;0.571333333333333;0.561
PF3D7_0103200;0.139;0.029;-0.716;-0.7445;-1.2505;0.0645;0.196;-0.2675;-0.7685;-0.848
PF3D7_0103300;0.0255;-0.3235;-0.0065;0.309;-0.381;-0.417;-0.351;-0.4925;-0.7555;-0.5385
PF3D7_0103400;-0.624333333333333;0.723666666666667;0.470666666666667;0.658333333333333;0.279333333333333;-0.531;-0.0286666666666667;-0.0376666666666667;-0.0483333333333333;0.232
PF3D7_0103500;0.0876666666666667;-0.4775;-0.731666666666667;-1.05633333333333;-0.973333333333333;0.122;0.229666666666667;-0.533;-0.586666666666667;-0.412333333333333
PF3D7_0103600;-0.212666666666667;-0.0553333333333333;-0.04;0.165666666666667;-0.303333333333333;0.197;-0.33;-0.569333333333333;-1.00333333333333;-0.619666666666667
PF3D7_0103700;0.076;0.645;-0.242;-0.0715;-0.157;0.1165;0.098;-0.3275;0.102;-0.6305
PF3D7_0103900;0.251;0.6265;0.351;0.8465;0.4145;0.2955;0.602;0.0685;-0.231;-0.5025
PF3D7_0104000;-0.252;0.927;-0.087;0.761;-0.178;0.277;-0.081;0.523;0.626;0.139
PF3D7_0104100;8.5775;-1.0305;-0.1255;-0.1245;0.337;0.6125;1.6165;0.7685;0.519;1.7905
PF3D7_0104200;-0.9175;-0.377;-0.203;0.12;-0.1205;-0.808;-0.207;-0.283;0.169;0.42
PF3D7_0104300;-2.057;-1.95691666666667;-1.413625;-1.278125;-1.57325;-2.057125;-1.671375;-1.549375;-0.42325;0.576
PF3D7_0104400;0.451;0.236;0.578;0.305;0.374;0.6625;0.8825;0.3975;0.016;0.2445
PF3D7_0104500;-0.781;-1.363;-0.877;-0.666;-0.803;-1.27;-0.929;-1.671;-2.006;-2.365
PF3D7_0104600;-0.948;-1.0975;-0.542333333333333;0.0203333333333333;-0.365333333333333;-0.578;-0.559666666666667;-0.752333333333333;-1.43566666666667;-1.13766666666667
PF3D7_0104700;-0.474;-0.293;-0.595;-0.01;0.3215;-0.1235;0.205;-0.0755;-0.7265;-0.087
PF3D7_0104800;0.3665;0.3415;0.424;0.2685;0.335;0.666;1.0365;0.786;0.5925;0.587
PF3D7_0105100;0.636;1.119;0.373;0.594;0.167;0.804;0.841;0.532;0.067;-0.244
PF3D7_0105200;-0.196;0.535;-0.0795;0.3425;0.0945;-0.058;-0.0155;-0.3155;-0.1835;-0.275
PF3D7_0105300;0.683;1.341;0.888;1.786;1.053;0.608;1.355;1.429;1.565;1.465
PF3D7_0105400;0.008;0.533;0.441;1.109;0.867;-0.834;0.855;0.981;1.583;1.485
PF3D7_0105500;-0.0255;0.4455;0.204;0.285;0.19;-0.095;0.5355;0.1295;-0.05;0.054
PF3D7_0105600;-0.7735;-0.182;-0.5755;-0.6495;-0.6725;-0.35;-0.475;-0.8275;-1.258;-1.2285
PF3D7_0105700;0.4272;1.0144;1.4452;1.565;1.0988;0.4446;0.6876;0.4408;0.145;-0.0288
PF3D7_0105800;0.1425;1.35;0.5665;1.181;0.7635;0.335;0.6635;0.7455;0.3105;0.7245
PF3D7_0105900;-0.1725;0.538;0.2455;0.427;-0.222;0.093;0.2665;0.461;0.391;0.1155
PF3D7_0106000;0.539;1.08;0.463;1.203;0.92;0.765;0.8685;0.886;1.2355;1.1605
PF3D7_0106100;-0.1875;-0.1085;-0.2675;-0.061;-0.0355;0.6525;0.7205;0.2815;0.1105;0.255
PF3D7_0106200;0.462;1.481;0.95;1.277;1.205;0.688;1.278;1.229;-0.133;0.58
PF3D7_0106300;0.7885;0.562;0.781;1.0145;0.912;0.834;1.026;0.7735;0.4935;0.4535
