X;CycTP1;CycTP1.2;CycTP2;CycTP3;CycTP3.2;CycTP4;CycTP5;CycTP5.2;CycTP6;CycTP1c;CycTP1.2c;CycTP2c;CycTP3c;CycTP3.2c;CycTP4c;CycTP5c;CycTP5.2c;CycTP6c
PF3D7_0201500;-1.395137853;-2.117869587;-2.266401451;-1.209389867;-0.664449935;-1.521592161;-0.591771455;-0.375584733;-2.029362131;0.473518805;0.042369757;0.321138587;0.283041105;0.295462085;-0.641516992;-0.1868584;-0.163548084;-0.110391271
PF3D7_0201600;-2.266875754;-2.284844892;-1.892470689;-1.697191364;-2.291563304;-2.331085623;-2.039450902;-1.103929483;-1.702571085;-0.458832264;-0.632771974;-0.359369247;0.012108536;0.086039783;-0.307371946;1.99209379;0.644519948;0.571982473
PF3D7_0201700;-1.104962598;-1.082116254;-1.189489998;-0.802272599;-0.134419825;-1.072872334;0.006990051;-0.142321012;-0.637313795;-0.246139027;-0.08368465;-0.309870678;0.321196208;0.682358847;0.572532338;0.723196805;0.800114373;0.624802976
PF3D7_0201800;-1.355651909;-1.638455617;-1.438451964;-1.167652972;-1.073948149;-1.024167468;-1.088056729;-1.088314891;-0.995655043;-0.609323521;-0.697572061;-0.558681937;0.246242548;0.617557699;1.107224515;1.499795406;1.787093647;1.255748494
PF3D7_0201900;-1.963152614;-2.033544483;-1.765898362;-1.506961043;-1.482797705;-1.440031296;-1.401571814;-1.449141947;-1.136644317;-1.30068381;-1.225616335;-0.911892583;-0.344724858;-0.245719802;0.553659323;1.014386962;1.121908813;0.122056663
PF3D7_0202000;-1.034298476;-0.946808495;-0.643136607;-0.765774525;-0.689646994;-0.784748511;-0.302175104;0.019562717;-0.420227255;-0.440813131;-0.310071738;-0.442197926;0.610532708;0.439680944;-1.092365961;0.336370814;0.302541127;0.762394314
PF3D7_0202400;-2.656644191;-2.599165789;-2.55512861;-2.333692577;-2.134065935;-2.305375168;-1.579812143;-1.718268303;-1.852869395;-0.584688526;-0.516807723;-0.612542883;0.098814301;0.506860105;-0.197582795;0.382987613;0.312124132;0.202427828
PF3D7_0202500;-0.116535588;-0.034909122;-0.167206309;0.044785848;0.258321108;-0.099084397;0.718709518;0.020657817;0.404541304;0.435409062;0.081329966;0.588258579;1.984362402;1.905293934;2.705966053;2.122614311;2.313110485;2.961995449
PF3D7_0202600;-0.458817007;-1.431005978;-0.982143879;-0.76715397;-0.616542665;-1.105087207;-0.928627946;-0.837223666;-1.114263839;-0.25382102;-0.641005877;-0.736645536;-0.634449994;-0.686334536;-1.113646207;-1.012569032;-1.088549046;-0.567120734
PF3D7_0202700;0.705834018;0.74497011;0.884523888;0.5730268;0.72002121;0.816504291;0.344848497;0.294787944;0.164661457;0.212039743;0.086627673;0.059898252;-0.624438361;-0.403849129;-0.007181048;-0.333274408;-0.056936867;-0.131040695
