X;DFMOT1.2;DFMOT1.2t;DFMOT1.2c;DFMOT1.1c;DFMOT1.1tc;DFMOT2.1;DFMOT2.1t;DFMOT2.2;DFMOT2.2t;DFMOT2.1c;DFMOT2.1tc;DFMOT2.2c;DFMOT3.1;DFMOT3.1t;DFMOT3.2;DFMOT3.2t;DFMOT3.1c;DFMOT3.1tc;DFMOT3.2cc;DFMOT3.2c;DFMOT3.2tc
PF3D7_0102200;2.11666666666667;1.68;1.71333333333333;1.82;1.96666666666667;0.313333333333333;0.15;0.0166666666666667;0.106666666666667;-0.46;-0.383333333333333;-0.543333333333333;-0.123333333333333;-0.236666666666667;-0.253333333333333;-0.183333333333333;-1.30666666666667;-1.415;-1.42666666666667;-0.253333333333333;-1.46666666666667
PF3D7_0102500;0.12;-0.11;0.47;0.5;0.54;0.17;0.18;0.18;0.26;0.11;0.39;0.39;-0.11;0.14;0.2;0.17;-0.59;-0.33;-0.29;0.2;-0.47
PF3D7_0103200;-0.09;-0.11;0.05;0.65;0.57;0.37;0.52;0.26;0.42;0.15;0.1;-0.03;0.61;0.78;0.52;0.65;-0.31;-0.24;-0.46;0.52;-0.29
PF3D7_0103300;-0.38;-0.65;-0.17;0.21;0.48;0.16;0.17;-0.26;-0.15;-0.15;0.13;0;-0.07;0.36;0.28;0.33;-0.2;-0.25;-0.21;0.28;-0.09
PF3D7_0103400;0.01;-0.26;0.3;0.53;0.56;0.21;0.22;-0.12;0.02;0.14;0.31;0.14;0.17;0.42;0.37;0.38;0.19;0.19;0.02;0.37;0.08
PF3D7_0103600;-0.43;0.145;0.155;-0.483333333333333;0.2;-0.04;0.126666666666667;-0.146666666666667;-0.06;-0.0333333333333333;0.0866666666666667;0.07;0.163333333333333;0.0333333333333333;0.0566666666666667;0.293333333333333;-0.0833333333333333;-0.28;-0.39;0.0566666666666667;-0.435
PF3D7_0104300;0.79;0.425;0.225;0.4175;0.51;0.27;0.4925;0.1875;0.1625;-0.47;-0.3725;-0.2475;-0.0025;0.29;0.41;0.4075;-0.735;-0.5325;-0.57;0.41;-0.7425
PF3D7_0104600;-0.66;-0.17;-0.27;-0.6;0.17;-0.25;0.23;-0.66;0.09;-0.3;-0.68;-0.81;-0.36;-0.08;0.13;0.09;-0.41;-0.74;-0.59;0.13;-0.36
PF3D7_0104800;-2.46;-2.78;-0.54;-0.65;-0.34;-1.77;-1.73;-1.72;-0.97;0.86;0.95;0.71;-1.54;-1.81;-1.32;-1.02;1.1;0.86;0.98;-1.32;0.86
PF3D7_0105300;-1.69;-0.88;-1.39;-1.61;-1.71;-2.69;-2.54;-2.44;-2.22;-0.42;-0.59;-0.48;-2.7;-1.69;-2.31;-2.75;1.32;1.57;1.48;-2.31;1.17
PF3D7_0105600;-1.71;-0.93;-0.89;-0.605;-0.375;-0.345;-0.28;-0.71;0.17;-0.28;-0.185;-0.25;-0.19;-0.33;-0.135;-0.13;-0.165;-0.725;-0.73;-0.135;-0.88
PF3D7_0105800;-2.325;-2.47;-1.12;-1.07;-0.92;-2.69;-2.275;-2.05;-2.275;0.435;0.28;-0.14;-1.535;-2.24;-1.79;-1.73;0.93;1.05;1.075;-1.79;1.24
PF3D7_0106000;-1.68;-3.13;-0.69;-0.5;-0.13;-2.04;-1.9;-2.02;-1.78;0.4;0.07;0.24;-1.66;-1.56;-1.69;-1.46;1.5;1.35;1.14;-1.69;0.91
PF3D7_0106100;-0.94;-1.06;-0.03;-0.07;-0.12;0.13;0.2;0.11;0.17;0.09;0.36;0.1;0.22;0.24;0.34;0.55;-0.25;-0.19;-0.41;0.34;-0.13
PF3D7_0106300;-0.41;-0.61;-0.11;-0.03;0.01;0.07;-0.07;-0.29;-0.14;0.16;-0.08;-0.12;-0.1;-0.01;0.03;0.25;0.01;0.05;0.18;0.03;0.21
PF3D7_0106400;0.79;1.02;0.62;0.68;0.68;0.57;0.85;0.48;0.91;-0.39;-0.37;-0.57;0.49;0.52;0.34;0.35;-1.03;-0.82;-1.23;0.34;-1.24
PF3D7_0106700;-0.27;-0.17;0.08;0.35;0.37;0.34;0.55;0.15;0.18;-0.25;-0.05;-0.04;0.27;0.58;0.27;0.51;-0.48;-0.6;-0.59;0.27;-0.71
PF3D7_0107800;-0.795;-1.075;-0.105;0.245;0.37;-0.14;0.03;-0.38;-0.375;0.35;0.325;0.47;-0.08;0.105;0.08;0.27;0.4;0.415;0.3;0.08;0.27
PF3D7_0108000;-0.65;-0.98;0.03;-0.14;0.09;-0.04;-0.04;0;0.03;0.4;0.51;0.4;-0.05;0.05;-0.03;0.12;0.64;0.04;0.2;-0.03;0.41
PF3D7_0108300;0.45;-0.1;0.14;0.46;0.3;0.16;0.15;0.38;0.1;-0.37;-0.2;-0.17;0.43;0.36;0.44;0.56;-0.76;-0.46;-0.39;0.44;-0.64
PF3D7_0108500;1.565;1.195;0.895;1.01;1.415;0.885;0.735;0.45;0.57;-0.1;-0.005;-0.205;0.29;0.465;0.33;0.46;-0.835;-0.85;-0.585;0.33;-0.99
PF3D7_0108700;-0.36;-1.00333333333333;-0.506666666666667;-0.83;-0.51;-0.513333333333333;-0.223333333333333;-0.21;-0.33;-0.503333333333333;-0.24;-0.18;-0.583333333333333;-0.296666666666667;-0.0366666666666667;-0.0366666666666667;-0.793333333333333;-0.236666666666667;0.03;-0.0366666666666667;-0.233333333333333
PF3D7_0108800;-0.2;-1.13;0.47;0.16;0.45;0.18;0.22;-0.28;0.11;0.58;0.33;0.37;0.23;-0.12;-0.09;0.04;0.53;0.36;0.09;-0.09;0.24
PF3D7_0109000;0.69;1.36;0.42;1.11;1.01;-0.5;-0.29;-0.89;-0.24;-1.26;-0.95;-0.97;-1.72;-1.41;-0.96;-0.83;1.33;0.71;0.08;-0.96;0.43
PF3D7_0109200;-0.73;-0.06;-0.1;-0.05;-0.17;-0.3;-0.43;-0.9;-0.11;0.01;0.17;0.28;-0.05;-0.01;-0.12;-0.03;0.38;0.19;-0.15;-0.12;-0.07
PF3D7_0109400;-0.19;-0.24;0.36;0.58;0.6;-0.01;0.04;-0.16;0;0.05;0.15;0.26;0.21;0.11;0.09;0.17;0.63;-0.01;-0.41;0.09;-0.54
PF3D7_0109500;-0.18;0.17;0.23;-0.3;-0.16;0.64;0.78;0.4;0.99;0.2;0.08;0;0.61;0.7;0.56;0.59;-0.07;-0.35;-0.69;0.56;-0.65
PF3D7_0109700;1.03;1.04;0.55;0.58;0.68;0.79;0.86;0.51;0.92;-0.2;-0.48;-0.59;0.53;0.77;0.24;0.8;-0.74;-0.85;-1.44;0.24;-1.4
PF3D7_0109800;-0.34;-0.55;-0.11;-0.05;0.26;0.28;0.54;0.13;0.22;0.01;0.07;0.17;0.34;0.36;0.4;0.42;-0.49;-0.29;-0.31;0.4;-0.43
PF3D7_0110400;0.61;0.33;0.2;0.41;0.34;0.66;0.65;0.45;0.66;-0.09;0.14;0.06;0.39;0.69;0.55;0.64;-0.47;-0.51;-0.46;0.55;-0.52
PF3D7_0110500;-0.96;-0.78;-0.57;-0.42;-0.14;0.05;-0.04;-0.15;-0.25;0.01;0.11;-0.03;0.33;0.21;0.52;0.5;-0.46;-0.26;-0.12;0.52;-0.15
