X;DHB4TP1.1;DHB4TP1.2;DHB4TP1.1t;DHB4TP2.1;DHB4TP2.2;DHB4TP2t;DHB4TP3.1;DHB4TP3.2;DHB4TP3t;DHB4TP1.1c;DHB4TP1.2c;DHB4TP1.1tc;DHB4TP1.2tc;DHB4TP2.1c;DHB4TP2.2c;DHB4TP2tc;DHB4TP3.1c;DHB4TP3.2c;DHB4TP3tc
PF3D7_0107600;-0.239463446;-0.148121202;-0.220658945;-0.399697295;-0.93912388;-0.223341964;-0.430276978;-0.374339125;-0.085327578;0.288104129;0.030681308;-0.106673008;-0.224676026;-0.140654936;-0.124920239;-0.293483882;-0.261379461;0.068041811;-0.228274403
PF3D7_0114600;-0.165719098;-0.407371787;-0.160006988;-0.192448801;-0.272317131;-0.783588608;-0.466177126;-0.072438533;-0.074260442;0.265380734;0.005705314;0.101109258;-0.129175262;-0.257642602;-0.211672401;-0.47172628;-0.242744691;0.222115223;0.025963942
PF3D7_0200100;-0.143955252;-0.309733084;0.549164922;0.086258374;0.158039195;-0.214289037;-1.21612012;0.035947862;-0.066956018;-0.243885114;-0.350851155;-0.075451899;-0.082670449;-0.136718081;-0.365868499;-0.348544539;-1.007185988;-0.957895709;-0.922028335
PF3D7_0200200;-0.144815211;-0.116932899;0.527893554;0.146483864;-0.191481448;-0.494067824;-0.381272455;-0.035841951;-0.24379965;-0.196087912;0.047254086;-0.475839504;-0.322200302;-0.241995021;-0.405690979;-0.315370349;-0.145226663;-0.506573794;-0.327080683
PF3D7_0200400;-0.199040909;-0.077028827;-0.318180687;-0.569100922;-0.273788;-0.147912577;-0.478153336;-0.454887454;-0.263653691;-0.283117096;-0.084073929;-0.311756811;-0.152454076;-0.337272578;-0.45043988;-0.23751397;-0.350409117;-0.357346077;-0.613087697
PF3D7_0200500;-0.267342545;-0.415521228;0.258064216;-0.379716826;0.12553789;0.065434815;0.523542957;-0.572226475;-0.120311715;-0.181632545;0.112423669;0.128685163;-0.885421012;-0.380300395;-0.37715573;-0.247278672;0.024301263;-0.397159925;-0.790368464
PF3D7_0200600;-0.42462666;0.014068051;-0.213352434;-0.154796122;-0.17681199;-0.300286381;-0.341313368;-0.091904929;-0.254363545;-0.581233383;-0.2995623;-0.228850697;-0.561700982;-0.010233842;-0.2245653;-0.43460412;-0.174902502;-0.058561778;-0.134917937
PF3D7_0200900;-0.485900811;-0.697663807;-0.02899178;-0.968620042;-0.778764729;-0.696810938;-1.049048612;-1.253661399;-0.813192995;-0.198393968;0.548958074;-0.702457004;-0.672186933;-0.776647354;-0.334023149;-0.641758588;-0.842725309;-0.855045571;-0.926362856
PF3D7_0201000;-0.117215903;-0.40386907;-0.140973548;-0.348766462;-0.048060628;-0.291898094;-0.622261264;-0.195022153;-0.043288932;0.981428832;-0.070927221;-0.52425759;-0.462416939;-0.382446212;-0.894266748;-0.650583221;-0.334221904;-0.312827339;-0.942139478
PF3D7_0201200;0.084360637;-0.39433688;0.144023693;-0.595574009;-0.189815403;-0.677379736;-1.564493484;-0.796407293;-0.668741637;-0.514979608;-0.078101688;-0.217789403;-0.172378063;-0.298197452;-0.625212426;-0.920689141;-0.564532336;-0.705649161;-0.445493604
