"","variable","relative_importance","scaled_importance","percentage"
"1","Classd",5.11993885040283,1,0.0308875516241732
"2","PFB0270w",4.34220218658447,0.848096493621761,0.0261956242290224
"3","PFB0590w",4.08239412307739,0.797352125163798,0.024628254928641
"4","PF11_0090",4.06178379058838,0.793326621521818,0.024503916977086
"5","PFL0980w",3.91471195220947,0.764601310013979,0.0236166624349672
"6","PF13_0137",3.8575644493103,0.753439555046013,0.0232719031521778
"7","PF14_0713",3.82672309875488,0.747415781822043,0.0230858435457501
"8","PFL0580w",3.72533798217773,0.72761376473952,0.0224742077208509
"9","PFF0200c",3.66298890113831,0.715436064407313,0.0220980683731762
"10","PF10_0111",3.35173940658569,0.65464442145085,0.0202203633630401
"11","PF11_0290",3.25692701339722,0.636126154737369,0.0196483794439372
"12","PFF1150w",3.20224189758301,0.625445340490943,0.0193184752425126
"13","PFF0610c",3.19881129264832,0.624775292462064,0.0192977790994299
"14","PFC0230c",2.98263478279114,0.582552813605668,0.0179936301040524
"15","PF10_0307",2.79028654098511,0.544984348937209,0.0168332322121644
"16","PFE0585c",2.73121738433838,0.53344726648903,0.016476879982454
"17","MAL13P1.262",2.67187833786011,0.521857470553557,0.0161188995621834
"18","PF13_0032",2.54464101791382,0.497006134695067,0.0153513026429247
"19","PF10_0374",2.51887059211731,0.491972788292018,0.0151958348960581
"20","PF11_0087",2.51535177230835,0.49128551058973,0.0151746065705486
"21","PFB0923c",2.49337458610535,0.486993040143276,0.0150420226680385
"22","PFA0430c",2.3866560459137,0.46614932631977,0.0143982113812754
"23","MAL13P1.322",2.37665867805481,0.464196692088972,0.0143378992906685
"24","PFC0760c",2.32539868354797,0.454184854837673,0.0140286581507162
"25","MAL13P1.179",2.25507950782776,0.440450476796287,0.013604436839937
"26","MAL7P1.65",2.23741865158081,0.437001049613077,0.0134978924797418
"27","PF13_0170",2.19045686721802,0.427828716556971,0.0132145815689572
"28","PF14_0642",2.17897009849548,0.425585180245667,0.0131452842253211
"29","PFL2485c",2.16500020027161,0.422856651911236,0.0130610066655333
"30","MAL7P1.29",2.13196063041687,0.416403533852583,0.0128616856483598
"31","PFC0980c",2.10621476173401,0.411374983818077,0.0127063660495743
"32","MAL7P1.18",2.10351419448853,0.410847522978331,0.0126900740756569
"33","PFF1280w",2.02240681648254,0.395006049012367,0.0122007697307302
"34","PF13_0219",1.92543244361877,0.376065515600305,0.0116157430271757
"35","PFB0175c",1.8924812078476,0.369629650498403,0.0114169549115945
"36","PFF0965c",1.88468194007874,0.368106337818947,0.0113699035125681
"37","PFC0090w",1.84735178947449,0.360815205699017,0.0111446982928151
"38","PFE0165w",1.76229107379913,0.344201586247554,0.0106315442643436
"39","PF14_0384",1.6825202703476,0.328621165117083,0.0101503032023498
"40","PF10_0191",1.67042827606201,0.326259419276186,0.010077354655766
"41","PFF0490w",1.62493634223938,0.317374169832425,0.00980291105487814
"42","PF10_0152",1.61595404148102,0.315619793262546,0.00974872265800775
"43","PFC0100c",1.57014727592468,0.306673052511388,0.00947237974118826
"44","PF14_0041",1.49375772476196,0.291753040106023,0.00901153708778425
"45","MAL13P1.124",1.49244749546051,0.291497132889211,0.00900363274041398
"46","PFF0875w",1.46197378635406,0.285545165493341,0.00881979104020866
"47","PFL2370c",1.37379109859467,0.268321778586589,0.00828780278798324
"48","PF13_0090",1.35225963592529,0.264116364557537,0.00815790784505988
"49","PFI0965w",1.33749866485596,0.261233327962642,0.00806885790340068
"50","PF11_0435",1.31540274620056,0.256917667307114,0.00793555771211063
"51","PF14_0719",1.31018042564392,0.255897670641288,0.00790405251243846
"52","PF10_0136",1.29604649543762,0.253137104427654,0.00781878538100286
"53","PF14_0360",1.23695755004883,0.241596156944629,0.00746231376982909
"54","MAL13P1.40",1.21311128139496,0.236938626971983,0.00731845407235783
"55","PF10_0085",1.1713992357254,0.228791645750464,0.007066813769297
"56","MAL13P1.206",1.15985083580017,0.226536071951116,0.00699714461712751
"57","PFB0295w",1.13962817192078,0.222586285738766,0.00687514539158911
"58","PF14_0238",1.10305988788605,0.215443957460402,0.00665453635817434
"59","PFD0545w",1.10238683223724,0.215312499708958,0.00665047595009022
"60","PFI1185c",1.0990709066391,0.214664850255511,0.00663047164416251
"61","MAL8P1.91",1.00067496299744,0.195446662984794,0.0060368688927152
"62","PF11_0214",0.991273283958435,0.193610375616194,0.00598015047182074
"63","PF10_0084",0.965722799301147,0.188619986979955,0.00582600958519423
"64","PFL1135c",0.961164355278015,0.187729655248205,0.00579850941786717
"65","MAL8P1.108",0.891467690467834,0.174116862821066,0.00537804358902474
"66","PF13_0095",0.882871150970459,0.172437831147338,0.00532618241152386
"67","PF11_0438",0.859890997409821,0.167949466299224,0.00518754781056963
"68","PF14_0730",0.858932673931122,0.16776229150931,0.0051817664395834
"69","PFI1425w",0.845104038715363,0.165061353935677,0.00509834109084413
"70","PF14_0455",0.79179173707962,0.154648670660846,0.00477671879864665
"71","PF10_0380",0.789502382278442,0.154201525710864,0.00476290758592057
"72","PF11_0527",0.7845698595047,0.153238130850522,0.0047331506774373
"73","MAL13P1.338",0.747310817241669,0.145960887244361,0.00450837443987031
"74","PF10_0243",0.746623396873474,0.145826623850152,0.00450422737235046
"75","PF13_0087",0.730231642723083,0.142625071130611,0.00440533924744812
"76","PFL1270w",0.729962706565857,0.142572543910056,0.00440371681021154
"77","PFL2520w",0.673093020915985,0.131465050771657,0.00406063354248409
"78","MAL13P1.137",0.672406017780304,0.131330868869147,0.00405648899204329
"79","PFE0430w",0.672175347805023,0.131285815601516,0.0040550974069135
"80","PF07_0074",0.658973872661591,0.128707371692485,0.00397545558756327
"81","PFL2200w",0.63572371006012,0.124166270073734,0.00383519207688348
"82","MAL8P1.132",0.631844639778137,0.123408630110577,0.00381179043340895
"83","PFD0285c",0.615762412548065,0.120267532589694,0.00371476962157612
"84","PFI0855w",0.610077857971191,0.119157254763539,0.00368047585790357
"85","PFE1340w",0.580658435821533,0.113411205248252,0.00350299445686507
"86","MAL13P1.135",0.546003401279449,0.106642562974456,0.00329392766920766
"87","PFL0685w",0.532611906528473,0.104027005417568,0.00321313950014328
"88","PFF0595c",0.520045757293701,0.101572650082097,0.00313733047301485
"89","PFL0625c",0.483539015054703,0.0944423418292698,0.00291709270875938
"90","PFI0500w",0.424950063228607,0.0829990505052951,0.00256363745723966
"91","PF10_0299",0.386305063962936,0.075451108939034,0.00233050002245553
"92","PF14_0138",0.314223021268845,0.0613724168295725,0.00189564369312369
"93","PFD0785c",0.309201598167419,0.0603916584166023,0.00186535046701224
"94","PFE0205w",0.30865067243576,0.0602840544494933,0.00186202684392319
"95","PF14_0562",0.308574110269547,0.0602691007228081,0.00186156495991823
"96","PFC0400w",0.29763999581337,0.0581335059870787,0.00179560166727007
"97","PFI0710c",0.263940095901489,0.0515514156737873,0.00159229701292332
"98","MAL13P1.321",0.24167388677597,0.0472024947635763,0.00145796949379973
"99","PFA0180w",0.240925207734108,0.047056266641769,0.0014534528651385
"100","PF14_0214",0.236699566245079,0.0462309361812897,0.00142796042793344
"101","PFE1280w",0.229636251926422,0.0448513661268346,0.0013853488866573
"102","PFE0745w",0.227476209402084,0.044429477782569,0.00137231778864415
"103","PF11_0079",0.218801274895668,0.0427351344007659,0.00131998366996964
"104","PF14_0071",0.21072418987751,0.0411575598917418,0.00127125625588117
"105","PF14_0286",0.201395466923714,0.0393355219287176,0.00121497796423706
"106","PF11_0252",0.188310980796814,0.0367799277098784,0.00113604191587223
"107","PF11_0162",0.185314774513245,0.0361947241808687,0.00111796641165929
"108","PF11_0348",0.177702739834785,0.0347079809011399,0.00107204455185477
"109","PF13_0135",0.154564291238785,0.0301886986846774,0.000932454989089583
"110","PF08_0069",0.152932524681091,0.0298699904724563,0.000922610872731554
"111","PF10_0132",0.152284637093544,0.0297434484166861,0.000918702298451325
"112","PF14_0499",0.142568200826645,0.0278456842927778,0.000860085011103602
"113","PFF0690c",0.142338737845421,0.0278008667689892,0.000858700707523914
"114","PFL1680w",0.135270029306412,0.0264202431432885,0.00081605662401153
"115","PF14_0540",0.130967602133751,0.0255799152998569,0.000790100954366306
"116","MAL8P1.123",0.122573636472225,0.0239404493009875,0.000739461863690152
"117","PFL2055w",0.114677608013153,0.0223982378235104,0.000691826727064186
"118","PF14_0249",0.105918906629086,0.0206875335280131,0.000638987259823319
"119","PF11_0329",0.104030087590218,0.0203186191534363,0.000627592398033677
"120","PFE1390w",0.10381843149662,0.0202772795789254,0.000626315519791851
"121","PF14_0593",0.0943062305450439,0.0184194056414607,0.000568930342637205
"122","MAL7P1.171",0.0921872556209564,0.0180055384086674,0.000556146997118746
