;variable;relative_importance;scaled_importance;percentage
1;PF10_0374;0,509001678;1;0,011240988
2;PF10_0215;0,422073459;0,829218207;0,009321232
3;PFF0875w;0,390202054;0,766602686;0,008617371
4;PF14_0512;0,349927327;0,687477748;0,007727929
5;PFL1240c;0,341779183;0,671469658;0,007547982
6;PF14_0642;0,332423035;0,65308829;0,007341357
7;PFF1580c;0,319260545;0,627228865;0,007050672
8;PF10_0321;0,318751754;0,626229278;0,007039436
9;PFL1125w;0,301268754;0,591881652;0,006653334
10;PFC0090w;0,299877999;0,589149333;0,00662262
11;PF13_0081;0,294659539;0,578896989;0,006507374
12;PFD0625c;0,264674899;0,519988264;0,005845182
13;PFB0530c;0,254791835;0,500571699;0,00562692
14;PF07_0049;0,251231552;0,493577061;0,005548294
15;PFI1770w;0,227413811;0,446784011;0,005022294
16;PFB0655c;0,224482832;0,44102572;0,004957565
17;PF14_0598;0,217327573;0,426968284;0,004799545
18;PFC0960c;0,211083197;0,414700395;0,004661642
19;PFB0161c;0,206639803;0,40597077;0,004563512
20;PFL2235w;0,205782359;0,404286209;0,004544576
21;PFC0885c;0,200705637;0,394312329;0,00443246
22;PF10_0142;0,199621284;0,392181976;0,004408513
23;MAL7P1.137;0,194385575;0,381895745;0,004292885
24;PFF0610c;0,193942165;0,381024608;0,004283093
25;MAL13P1.301;0,193497646;0,380151293;0,004273276
26;PF11_0276;0,190391579;0,37404902;0,00420468
27;PFF0940c;0,189276782;0,371858857;0,004180061
28;PF11_0527;0,180660194;0,354930449;0,003989769
29;PFF1315w;0,176454826;0,346668456;0,003896896
30;PF14_0507;0,174923926;0,343660803;0,003863087
31;PF14_0139;0,174243843;0,342324693;0,003848068
32;MAL8P1.55;0,172920539;0,33972489;0,003818843
33;PFL1815c;0,17060429;0,335174317;0,00376769
34;PFL0175c;0,169753195;0,333502231;0,003748894
35;PF14_0062;0,159989873;0,314320915;0,003533278
36;PFF1150w;0,158805754;0,311994559;0,003507127
37;PF11_0471;0,158472023;0,311338901;0,003499757
38;PFF0200c;0,158002444;0,310416352;0,003489386
39;PF14_0238;0,154881235;0,304284331;0,003420456
40;PF13_0107;0,15419202;0,302930278;0,003405236
41;PF11_0354;0,153966477;0,30248717;0,003400255
42;PFL0585w;0,150613985;0,295900763;0,003326217
43;PF11_0396;0,149922838;0,294542915;0,003310953
44;PFE1320w;0,145711061;0,286268331;0,003217939
45;PF14_0736;0,144420674;0,283733198;0,003189441
46;PFE0830c;0,138169411;0,271451778;0,003051386
47;PFI1020c;0,13735007;0,269842077;0,003033291
48;MAL7P1.18;0,13708145;0,269314338;0,003027359
49;PFB0745w;0,134038232;0,263335541;0,002960152
50;PFI1580c;0,133592048;0,262458953;0,002950298
51;PF14_0719;0,133422258;0,26212538;0,002946548
52;PF14_0013;0,130965367;0,257298497;0,002892289
53;PF13_0120;0,129366803;0,25415791;0,002856986
54;PF11_0146;0,128552902;0,252558896;0,002839011
55;PF08_0054;0,126241027;0,248016916;0,002787955
56;MAL7P1.122;0,1255197;0,246599776;0,002772025
57;PF11_0141;0,125036371;0,245650213;0,002761351
58;PF07_0125;0,124239853;0,244085351;0,00274376
59;PF11_0184;0,123747262;0,243117591;0,002732882
60;PFI0915w;0,123046038;0,241739946;0,002717396
61;PFE1520c;0,122803639;0,241263721;0,002712043
62;PF13_0131;0,122659111;0,240979776;0,002708851
63;PF08_0057;0,121789831;0,239271964;0,002689653
64;PFF1370w;0,119804125;0,235370787;0,0026458
65;PF14_0519;0,118918185;0,233630241;0,002626235
66;PF14_0041;0,118159841;0,232140377;0,002609487
67;PF11_0170;0,117713633;0,231263742;0,002599633
68;PF14_0133;0,11477978;0,225499806;0,002534841
69;PF10_0060;0,113209359;0,22241451;0,002500159
70;MAL13P1.82;0,113191268;0,222378967;0,002499759
71;PFI1175c;0,111240849;0,218547117;0,002456685
72;PFI1410c;0,106307172;0,208854265;0,002347728
73;PFD1050w;0,10288987;0,202140533;0,002272259
74;PFE0285c;0,100142008;0,196742;0,002211574
75;PF11_0108;0,099930992;0,196327431;0,002206914
76;PF14_0021;0,099000388;0,194499138;0,002186362
77;PF11_0210;0,098981772;0,194462565;0,002185951
78;MAL8P1.4;0,097341843;0,191240712;0,002149734
79;PF10_0309;0,096140394;0,188880308;0,002123201
80;PF11_0129;0,095029867;0,186698533;0,002098676
81;PFD0400w;0,094978785;0,186598176;0,002097548
82;MAL13P1.127;0,091082051;0,178942535;0,002011491
83;PF14_0644;0,090485905;0,177771328;0,001998325
84;PF14_0454;0,085098132;0,167186348;0,00187934
85;PF10_0182;0,083010762;0,163085439;0,001833241
86;PFF0625w;0,081541092;0,160198081;0,001800785
87;PF10_0203;0,081296311;0,159717176;0,001795379
88;MAL8P1.65;0,07922002;0,155638032;0,001749525
89;PF14_0117;0,079134482;0,155469983;0,001747636
90;PF13_0166;0,078842057;0,154895476;0,001741178
91;PFL2230c;0,078315219;0,153860433;0,001729543
92;PFC0925w;0,076940378;0,15115938;0,001699181
93;PFC0455w;0,073966131;0,145316084;0,001633496
94;PF14_0249;0,073800795;0,144991261;0,001629845
95;PFE1000c;0,073082147;0,143579382;0,001613974
96;PF14_0461;0,072939054;0,143298258;0,001610814
97;PFE0585c;0,0723398;0,142120946;0,00159758
98;PF13_0073;0,072300425;0,142043589;0,00159671
99;PFE0810c;0,072287803;0,142018791;0,001596431
100;PFC0390w;0,071707162;0,140878045;0,001583608
101;PF14_0123;0,070570485;0,138644897;0,001558506
102;PF13_0036;0,070039561;0,137601828;0,00154678
103;MAL13P1.183;0,069778474;0,137088887;0,001541014
104;PF14_0368;0,068717307;0,135004088;0,001517579
105;PFI0170w;0,067975526;0,133546761;0,001501197
106;PFE0400w;0,067281196;0,13218266;0,001485864
107;PFD0830w;0,067028696;0,131686592;0,001480287
108;PF14_0380;0,066331878;0,130317601;0,001464899
109;PF08_0068;0,065564111;0,128809223;0,001447943
110;PF11_0321;0,065539085;0,128760058;0,00144739
111;PF13_0137;0,065437022;0,128559542;0,001445136
112;MAL13P1.229;0,065101563;0,127900488;0,001437728
113;MAL13P1.137;0,064721924;0,127154637;0,001429344
114;PFL1335w;0,062690578;0,123163794;0,001384483
115;PF14_0346;0,062525642;0,122839756;0,00138084
116;PFF1335c;0,062497113;0,122783707;0,00138021
117;PFE0715w;0,059330948;0,116563365;0,001310287
118;PFI1105w;0,05901;0,11593282;0,001303199
119;PFE1510c;0,058851677;0,115621773;0,001299703
120;MAL8P1.86;0,05782188;0,113598603;0,001276961
121;PFB0125c;0,057651874;0,113264605;0,001273206
122;PFI1650w;0,056791104;0,111573511;0,001254196
123;PFC0570c;0,056279726;0,110568842;0,001242903
124;MAL7P1.134;0,055424023;0,108887701;0,001224005
125;PFI1280c;0,055076262;0,108204481;0,001216325
126;PF14_0392;0,054664669;0,107395851;0,001207235
127;PF07_0037;0,054534442;0,107140003;0,001204359
128;PFF0950w;0,054270566;0,106621586;0,001198532
129;PF13_0077;0,053471734;0,105052176;0,00118089
130;PF10_0046;0,05272961;0,103594178;0,001164501
131;PFI0420c;0,051472121;0,101123677;0,00113673
132;PFE1445c;0,051094055;0,100380917;0,001128381
133;PF07_0020;0,050693061;0,099593112;0,001119525
134;PF14_0038;0,049420415;0,097092833;0,001091419
135;PFF1080w;0,049098747;0,096460874;0,001084315
136;PFF0690c;0,048927193;0,096123835;0,001080527
137;PF14_0559;0,048870717;0,096012879;0,00107928
138;PFB0410c;0,048343095;0,094976298;0,001067627
139;PF08_0012;0,047896862;0,094099615;0,001057773
140;PFL1700c;0,047391014;0,093105811;0,001046601
141;PF14_0565;0,047374397;0,093073165;0,001046234
142;PFL1245w;0,046831517;0,092006605;0,001034245
143;PF14_0231;0,046252837;0,090869715;0,001021465
144;PFE0515w;0,045990924;0,090355153;0,001015681
145;MAL13P1.165;0,045811268;0,090002193;0,001011714
146;PFA0130c;0,044910022;0,08823158;0,00099181
147;PF14_0248;0,044280315;0,086994438;0,000977903
148;PF14_0564;0,044276021;0,086986001;0,000977809
149;PF14_0433;0,043679531;0,08581412;0,000964635
150;PFC0070c;0,043056633;0,084590357;0,000950879
151;PFC0970w;0,043017902;0,084514264;0,000950024
152;PF10_0030;0,042534536;0,083564629;0,000939349
153;PFF0720w;0,042472452;0,083442656;0,000937978
154;PFL0695c;0,042165244;0,082839106;0,000931193
155;PF10_0280;0,041310494;0,081159839;0,000912317
156;PFI0230c;0,039485434;0,07757427;0,000872011
157;PFE0335w;0,039448291;0,077501299;0,000871191
158;PFC0980c;0,039073036;0,076764061;0,000862904
159;PF11_0140;0,038587434;0,075810033;0,00085218
160;PF07_0015;0,038352207;0,0753479;0,000846985
161;PF13_0261;0,038112421;0,074876807;0,000841689
162;PF14_0633;0,03796437;0,074585943;0,00083842
163;PFL2280w;0,037846144;0,074353672;0,000835809
164;MAL13P1.124;0,037743847;0,074152697;0,00083355
165;PF14_0063;0,037234048;0,07315113;0,000822291
166;PFB0820c;0,037197198;0,073078734;0,000821477
167;PF10_0293;0,037073836;0,072836372;0,000818753
168;PFL0930w;0,035674628;0,070087447;0,000787852
169;PF11_0083;0,035658707;0,070056168;0,000787501
170;MAL8P1.30;0,034696859;0,068166492;0,000766259
171;PFI0155c;0,034689821;0,068152664;0,000766103
172;PFE0865c;0,034531689;0,067841995;0,000762611
173;PFE1010w;0,033859209;0,066520819;0,00074776
174;PF14_0084;0,033285024;0,065392759;0,000735079
175;PF08_0117;0,033203111;0,06523183;0,00073327
176;PF11_0258;0,033158719;0,065144617;0,00073229
177;PFL1410c;0,032576063;0,063999912;0,000719422
178;PF13_0310;0,032564302;0,063976807;0,000719163
179;PF10_0152;0,031998765;0,062865737;0,000706673
180;PFA0590w;0,031419004;0,06172672;0,000693869
181;PF14_0100;0,031035421;0,060973122;0,000685398
182;PF11_0438;0,030806747;0,060523861;0,000680348
183;PF11_0294;0,030423822;0,059771556;0,000671891
184;PF07_0090;0,029505969;0,057968314;0,000651621
185;PFE1275c;0,029254211;0,057473703;0,000646061
186;PF13_0347;0,029120998;0,057211988;0,000643119
187;PF11_0206;0,028803792;0,056588796;0,000636114
188;PFI0590c;0,028625532;0,056238581;0,000632177
189;PF14_0612;0,02816962;0,055342882;0,000622109
190;PFE0310c;0,0280826;0,05517192;0,000620187
191;PF13_0279;0,028080274;0,055167351;0,000620136
192;PF10_0191;0,027547244;0,054120144;0,000608364
193;PFF0805c;0,027400377;0,053831605;0,00060512
194;PF14_0282;0,02696194;0,052970237;0,000595438
195;PFF1440w;0,026842534;0,052735649;0,000592801
196;PFF0105w;0,02609836;0,051273623;0,000576366
197;PFL1930w;0,025622684;0,050339094;0,000565861
198;MAL13P1.337;0,024924264;0,048966959;0,000550437
199;PFB0520w;0,024522257;0,048177163;0,000541559
200;PFF0685c;0,024403542;0,047943933;0,000538937
201;PF10_0320;0,024156402;0,047458394;0,000533479
202;PF14_0048;0,024123288;0,047393338;0,000532748
203;PFB0590w;0,024002417;0,04715587;0,000530079
204;PF10_0299;0,02381725;0,046792084;0,000525989
205;PF11_0228;0,023791242;0,046740989;0,000525415
206;PF11_0249;0,023727853;0,046616454;0,000524015
207;MAL13P1.253;0,023581743;0,046329402;0,000520788
208;PF11_0289;0,023447422;0,046065509;0,000517822
209;PFI0190w;0,023238552;0,045655158;0,000513209
210;PF14_0506;0,02307157;0,045327099;0,000509521
211;PF13_0225;0,022986602;0,04516017;0,000507645
212;PFF0410w;0,022814421;0,044821898;0,000503842
213;MAL8P1.101;0,0226064;0,044413214;0,000499248
214;PF11_0356;0,022502853;0,044209781;0,000496962
215;PF11_0255;0,022256271;0,043725338;0,000491516
216;PFE0915c;0,02222103;0,043656104;0,000490738
217;PF14_0583;0,022010733;0,043242948;0,000486093
218;PFB0200c;0,021826737;0,042881464;0,00048203
219;PF10_0221;0,021790475;0,042810223;0,000481229
220;PFA0515w;0,021658133;0,042550219;0,000478306
221;PFF1105c;0,02143216;0,042106265;0,000473316
222;PF10_0116;0,021422753;0,042087784;0,000473108
223;MAL8P1.53;0,021287464;0,041821991;0,00047012
224;PF11_0233;0,021212506;0,041674727;0,000468465
225;PFE0925c;0,021185693;0,04162205;0,000467873
226;PFI0380c;0,02088292;0,041027212;0,000461186
227;PFE1355c;0,020849995;0,040962526;0,000460459
228;PF10_0023;0,020812432;0,04088873;0,00045963
229;MAL7P1.74;0,02073971;0,040745858;0,000458024
230;MAL13P1.294;0,02072978;0,040726349;0,000457804
231;PF07_0010;0,020707858;0,040683281;0,00045732
232;PF08_0061;0,020558339;0,04038953;0,000454018
233;PFB0715w;0,020553692;0,040380401;0,000453916
234;PFF0755c;0,020481511;0,040238593;0,000452322
235;PFC0465c;0,020460864;0,040198029;0,000451866
236;PF14_0593;0,02036372;0,040007176;0,00044972
237;PF14_0538;0,02033465;0,039950065;0,000449078
238;PFI1755c;0,02011383;0,039516235;0,000444202
239;PF13_0262;0,020073941;0,039437869;0,000443321
240;PF07_0056;0,020002182;0,039296887;0,000441736
241;PF13_0031;0,019956733;0,039207598;0,000440732
242;PF13_0147;0,01990361;0,039103231;0,000439559
243;PF14_0627;0,019890573;0,039077617;0,000439271
244;PF14_0600;0,019887206;0,039071003;0,000439197
245;PFE1160w;0,019789037;0,038878136;0,000437029
246;PFL1605w;0,019717514;0,038737621;0,000435449
247;PF13_0095;0,019713602;0,038729935;0,000435363
248;MAL8P1.146;0,019623378;0,038552678;0,00043337
249;PF14_0079;0,019438176;0,038188824;0,00042928
250;PFD0965w;0,019435492;0,038183553;0,000429221
251;MAL13P1.231;0,01942147;0,038156004;0,000428911
252;PF14_0083;0,019378699;0,038071975;0,000427967
253;MAL13P1.332;0,019370726;0,03805631;0,000427791
254;PF14_0404;0,019345112;0,038005989;0,000427225
255;PFL0710w;0,019327554;0,037971493;0,000426837
256;PFD0905w;0,019249742;0,037818622;0,000425119
257;MAL13P1.45;0,019148091;0,037618915;0,000422874
258;PFE0655w;0,019105489;0,037535219;0,000421933
259;PF14_0555;0,01905892;0,037443726;0,000420904
260;PF13_0263;0,019055819;0,037437636;0,000420836
261;PF14_0439;0,019002769;0,037333411;0,000419664
262;PFC0705c;0,018969547;0,037268142;0,000418931
263;MAL13P1.243;0,01896877;0,037266616;0,000418914
264;PF13_0146;0,018924448;0,037179539;0,000417935
265;PF11_0212;0,018872779;0,037078029;0,000416794
266;PF14_0094;0,018821249;0,036976792;0,000415656
267;PF14_0587;0,01876183;0,036860054;0,000414343
268;PF11_0064;0,018756322;0,036849235;0,000414222
269;PFI0130c;0,018743479;0,036824003;0,000413938
270;PF13_0267;0,018721446;0,036780716;0,000413452
271;PF08_0032;0,018668147;0,036676003;0,000412274
272;PFD1175w;0,018568988;0,036481192;0,000410085
