X;HDATP1;HDATP1.1;HDATP2;HDATP2.2;HDATP3;HDATP3.3;HDATP1c;HDATP1c2
PF3D7_0100100;0.694333333333333;-0.557333333333333;0.6615;-1.4275;-0.127333333333333;-0.182333333333333;-0.065;-0.05525
PF3D7_0100200;-0.213;0.5;0.24;NA;0.743;0.517;0.176;0.07
PF3D7_0100300;-0.954;NA;-0.012;-0.551;-0.362;-0.3845;0.14;0.208
PF3D7_0100400;0.4065;1.142;0.26;0.2395;0.0485;0.28;NA;0.225
PF3D7_0100500;-0.466;-0.146;NA;0.27;NA;NA;NA;0.037
PF3D7_0100600;NA;-0.801;0.106;NA;NA;-0.635;NA;NA
PF3D7_0100700;-0.636;-0.409;-0.192;-0.682;-0.264;-0.256;-0.248;-0.591
PF3D7_0100800;NA;-0.653;0.337;NA;NA;NA;NA;-0.112
PF3D7_0100900;-0.437;0.246;0.297;0.552;0.042;-0.114;0.114;0.003
PF3D7_0101000;0.707;-2.106;0.406;-0.4;0.361;0.049;0.289;0.175
PF3D7_0101100;-0.052;NA;0.152;NA;NA;NA;0.329;NA
PF3D7_0101300;-0.263;0.179;0.571;0.001;-0.103;-0.352;-0.29;-0.18
PF3D7_0101400;0.614;0.034;0.371;-0.393;0.239;-0.005;-0.238;-0.211
PF3D7_0101500;-0.093;-0.356;-0.486;-0.03;0.053;-0.1325;0.239;-0.003
PF3D7_0101600;-0.216;NA;-0.238;NA;-0.264;NA;-0.362;-0.059
PF3D7_0101800;-0.301;-1.085;-0.098;-1.099;-0.264;-0.238;-0.101;-0.221
PF3D7_0101900;0.46;-0.355;NA;-0.768;-0.129;NA;0.512;NA
PF3D7_0102000;1.51;0.016;0.266;-0.03;0.034;0.315;0.026;-0.382
PF3D7_0102100;-0.496;NA;-0.455;-1.029;-0.435;-0.639;-0.211;-0.504
PF3D7_0102200;0.85;-0.192;0.5385;-0.361;-0.215;-0.187;-0.3785;0.292
PF3D7_0102300;-0.262;0.089;0.598;NA;0.005;0.077;-0.518;-0.448
PF3D7_0102400;1.087;0.469;0.952;0.391;0.59;0.185;0.418;0.287
PF3D7_0102500;0.969333333333333;0.140333333333333;0.625;0.0196666666666667;-0.322;-0.244666666666667;-1.13833333333333;0.645333333333333
PF3D7_0102600;0.407;0.269;0.638;-0.2415;-0.3745;-0.2375;0.302;0.107
PF3D7_0102700;2.806;0.943;2.488;0.608;0.734;0.876;0.212;0.465
PF3D7_0102800;-0.9455;-0.084;-0.6515;-0.0435;0.1625;0.3475;0.2355;0.212
PF3D7_0102900;-0.64;-0.18;-0.3405;-0.2325;-0.051;-0.2815;-0.37;-0.3095
PF3D7_0103000;-0.817;0.118;-0.871;0.441;0.841;0.485;0.205;-0.145
PF3D7_0103100;0.4175;0.153;0.187666666666667;-0.146333333333333;-0.289;-0.244666666666667;0.006;0.142
PF3D7_0103200;-0.2495;-0.0445;-0.138;0.059;-0.1675;-0.265;0.001;0.0575
PF3D7_0103300;-0.45;0.055;-1.3625;0.3605;0.157;0.2075;0.00600000000000001;0.0615
PF3D7_0103400;-0.579333333333333;-0.177666666666667;-0.838;0.302;-0.0243333333333333;-0.181666666666667;-0.151666666666667;0.072
PF3D7_0103500;-0.385;-0.320666666666667;-0.393666666666667;0.00633333333333334;0.0476666666666667;0.021;-0.216333333333333;0.0396666666666667
PF3D7_0103600;-0.110333333333333;-0.121666666666667;-0.471;-0.017;-0.183666666666667;-0.188666666666667;-0.101333333333333;-0.365666666666667
PF3D7_0103700;1.0995;-0.4285;0.244;0.335;0.001;0.386;0.2345;0.189
PF3D7_0103800;1.959;1.052;1.42;0.599;0.7305;0.7595;0.4795;0.6795
PF3D7_0103900;-0.8835;-0.154;-0.465;0.038;-0.0045;-0.054;-0.0115;0.2415
PF3D7_0104000;0.709;0.362;0.592;0.189;-0.081;0.083;-0.087;0.264
PF3D7_0104100;1.0425;0.2795;0.444;0.4115;0.1925;0.375;-0.236;-0.2915
PF3D7_0104200;0.081;0.1535;0.6755;0.199;0.029;-0.085;-0.234;-0.208
PF3D7_0104300;0.616375;0.108;0.196125;0.046;-0.23075;-0.170666666666667;-0.359875;-0.23
PF3D7_0104400;0.248;0.4845;0.2185;0.5525;0.5715;0.4245;0.228;0.2185
PF3D7_0104500;1.978;0.524;1.009;0.567;0.769;0.913;0.092;0.269
PF3D7_0104600;0.261333333333333;0.152333333333333;0.639333333333333;0.171666666666667;0.142666666666667;0.107;0.0333333333333333;-0.179
PF3D7_0104700;0.203;0.513;0.431;NA;0.086;0.153;0.485;0.26
PF3D7_0104800;-0.6255;0.02;-0.2185;0.27;0.446;0.431;0.1025;0.354
PF3D7_0105100;-1.061;-0.375;-0.489;-0.239;-0.39;-0.45;0.197;-0.016
PF3D7_0105200;0.7305;0.095;0.866;0.484;0.3965;0.3935;-0.0095;-0.00850000000000001
PF3D7_0105300;-0.123;0.319;0.413;0.161;0.493;0.338;0.217;0.49
PF3D7_0105400;2.111;1.068;1.958;0.812;1.274;1.211;0.247;0.815
PF3D7_0105500;-0.05;-1.119;-1.0435;-0.1705;-0.5635;-0.3865;-0.0405;-0.0335
PF3D7_0105600;0.398;-0.0225;0.4735;-0.67;-0.0405;-0.0135;0.037;-0.1755
PF3D7_0105700;1.317;0.677;1.0168;0.2952;0.185;0.0516;-0.0734;0.0744
PF3D7_0105800;-0.7765;-0.0115;-0.7075;0.0245;-0.031;-0.065;-0.128;-0.072
PF3D7_0105900;-0.2025;0.307;-0.1955;0.185;0.2445;0.156;-0.0545;-0.063
PF3D7_0106000;-0.0665;0.2535;0.2695;0.173;0.4205;0.448;-0.028;0.3185
PF3D7_0106100;-1.2375;-0.252;-0.4835;-0.7145;-0.401;-0.4895;-0.1525;-0.189
PF3D7_0106200;0.893;0.384;0.394;0.117;0.09;0.189;0.098;0.334
PF3D7_0106300;-0.074;-0.3705;-0.1305;0.0355;0.2015;0.144;0.265;0.2465
PF3D7_0106400;1.327;0.467;0.547;0.337;0.478;0.513;0.212;0.326
PF3D7_0106500;-0.677;-0.117333333333333;-0.535666666666667;0.097;-0.0943333333333333;0.0236666666666667;-0.097;-0.076
PF3D7_0106600;1.182;2.034;1.484;1.708;1.437;2.07;-0.065;1.204
PF3D7_0106700;-0.192666666666667;0.00266666666666667;-0.511;0.232333333333333;0.106666666666667;0.138666666666667;-0.108;-0.295
PF3D7_0106800;-1.124;-0.638;-1.409;-0.342;NA;-0.278;-0.179;-0.714
PF3D7_0106900;-0.9465;-0.3645;-0.618;-0.46;-0.2255;-0.6085;-0.158;-0.1145
PF3D7_0107000;-1.128;-0.43;-1.185;-0.236;-0.582;-0.35;0.082;0.193
PF3D7_0107100;-0.695;-0.41;-0.836;-0.2875;-0.424;-0.3305;0.095;0.077
PF3D7_0107200;-1.078;-0.5515;-0.7175;-0.318;-0.2595;-0.2085;-0.189;-0.333
PF3D7_0107300;1.0315;0.5535;1.154;0.5635;0.406;0.582;-0.0395;0.436
PF3D7_0107400;0.171;-0.197;-0.074;-0.115;-0.033;0.099;-0.049;-0.053
PF3D7_0107500;0.678666666666667;-0.249666666666667;0.8565;-0.351;-0.351;-0.343333333333333;0.0286666666666667;-0.26
PF3D7_0107600;1.3015;-0.2185;1.536;0.086;0.095;-0.0906666666666667;0.23;0.159
PF3D7_0107700;0.897;-0.134;0.4075;-0.0645;-0.175;-0.069;-0.0715;-0.0295
PF3D7_0107800;0.339;0.153;0.2755;0.2525;-0.092;-0.155;-0.0105;-0.0545
PF3D7_0107900;-0.135;0.115;0.049;0.079;-0.194;-0.006;0.216;-0.084
PF3D7_0108000;-0.218;-0.78;-0.643;-0.304;0.448;0.356;NA;0.42
PF3D7_0108100;-1.129;-0.2035;-0.8345;-0.113;0.0645;-0.0035;-0.137;-0.352
PF3D7_0108300;-0.416666666666667;-0.59175;-0.349666666666667;-0.20975;-0.291;-0.2705;-0.0636666666666667;-0.171
PF3D7_0108400;-1.011;-0.557;-0.655;-0.052;-0.529;-0.551;0.3;0.309
PF3D7_0108500;0.555;0.022;0.703;-0.275;0.067;0.201;-0.43;-0.261
PF3D7_0108600;-0.302;-0.225;-0.479;-0.132;-0.299;-0.204;0.392;0.114
PF3D7_0108700;0.6015;0.4285;0.0345;0.3465;0.1285;0.147;0.081;-0.0725
PF3D7_0108800;-0.368;-0.0885;0.0045;-0.1145;-0.064;-0.259;-0.11;-0.1285
PF3D7_0109000;-0.573;0.926;-0.024;0.839;1.015;0.811;-0.223;1.198
PF3D7_0109100;0.942;1.137;1.322;0.8545;1.122;1.0335;-0.254;0.299
PF3D7_0109200;0.2;0.294;-0.283;0.401;0.057;0.37;NA;-0.237
PF3D7_0109300;0.745;0.549;0.84;0.434;0.36;0.413;0.231;0.193
PF3D7_0109400;1.762;0.464;1.316;0.149;0.494;0.355;0.356;0.359
PF3D7_0109500;-1.415;-0.79;-0.848;-0.743;NA;-0.848;-0.04;-0.163
PF3D7_0109600;-0.011;-0.083;1.858;-0.925;-0.53;-0.829;-0.076;-0.002
PF3D7_0109700;0.389;0.181;0.152;0.017;0.088;0.072;0.265;-0.084
PF3D7_0109800;-0.47;-0.411;0.011;-0.3865;-0.3345;-0.1955;0.0785;-0.174
PF3D7_0109900;1.285;0.331;0.865;0.2255;0.1545;0.2005;0.255;0.5
PF3D7_0110000;0.613;0.38;0.406;0.103;0.2;-0.061;-0.107;0.082
PF3D7_0110100;-1.414;-0.4655;-1.111;-0.07;-0.2465;-0.3475;-0.2005;-0.4995
PF3D7_0110200;-2.181;-0.914;-1.842;-0.635;-0.796;-0.94;0.126;0.019
PF3D7_0110400;0.94;0.41;0.74;0.345;0.201;0.199;0.234;0.151
PF3D7_0110500;0.49325;0.20725;0.47425;-0.065;-0.088;-0.10475;-0.148;-0.229
PF3D7_0110600;0.160333333333333;0.0533333333333333;-0.202666666666667;0.143333333333333;-0.382;-0.142333333333333;-0.195;-0.406666666666667
PF3D7_0110700;0.204;-0.0965;0.1625;-0.271;0.0015;0.0895;0.042;-0.049
PF3D7_0110800;0.287;-0.021;0.164;-0.2545;-0.008;0.173;0.282;-0.543
PF3D7_0110900;-0.565;-0.265;-0.974;0.18;-0.264;-0.394;0.038;-0.196
PF3D7_0111000;1.14966666666667;0.034;0.264666666666667;0.236333333333333;0.404;0.396;-0.07;0.057
PF3D7_0111200;0.078;-0.422;-0.286;0.289;-0.194;0.125;0.601;0.659
PF3D7_0111300;-0.5745;-0.4955;-0.9515;0.057;0.3115;0.2435;0.241;-0.03
PF3D7_0111400;-0.889;-0.3405;-0.853;-0.133;-0.1975;-0.224;-0.1775;-0.261
PF3D7_0111500;-0.688;0.049;0.078;0.00600000000000001;0.148;-0.0355;0.076;0.333
PF3D7_0111600;-0.222;-1.483;-0.073;NA;-0.426;-0.46;0.289;0.001
PF3D7_0111700;-1.436;-0.368;-0.406;-0.442;-0.225;-0.251;-0.012;-0.215
PF3D7_0111800;-0.366;-0.076;-0.155;-0.194;-0.3555;-0.146;0.1695;-0.1655
PF3D7_0111900;-1.116;-0.756;-0.505;-0.96;-1.053;-0.767;-0.033;-0.438
PF3D7_0112000;-0.808;-0.6895;-0.195;-0.4535;-0.607;-0.422;-0.2565;-0.359
PF3D7_0112100;NA;-1.03;0.078;0.183;NA;-0.831;NA;0.26
PF3D7_0112200;-0.74;-0.482333333333333;0.263666666666667;-0.33;-0.0913333333333333;-0.0956666666666667;0.182;0.0463333333333333
PF3D7_0112800;1.52;0.607;1.191;NA;0.432;0.573;0.015;0.249
