X;IonoTP1;IonoTP2;IonoTP3;IonoTP4;IonoTP5;IonoTP1c;IonoTP2c;IonoTP3c;IonoTP4c;IonoTP5c
PF3D7_0100100;0.274268064666667;0.2779038435;0.4154602195;0.156768495;0.3040720195;0.276402725333333;0.290045766333333;0.274189074333333;0.274296013;0.267540273333333
PF3D7_0101000;0.504902566;0.410701715;0.428178394;0.286062092;0.339547097;0.573630328;0.598089574;0.526698058;0.424322823;0.573024952
PF3D7_0101400;0.60588308;0.353695799;0.39002387;0.310304643;0.4611759;0.538133395;0.362384157;0.61979483;0.443302117;0.397451662
PF3D7_0101500;0.09599382;0.102351536;0.144139257;0.0961621175;0.054057251;0.124949178;0.163020955;0.193845299;0.138277725;0.104186357
PF3D7_0102200;0.0829037555;0.0887478475;0.1625099475;0.4202042085;0.9096820945;0.101521205;0.099162425;0.2244524465;0.7293472355;1.769238701
PF3D7_0102300;1.94605654;1.624668539;1.11637273;0.759599898;0.532126031;1.88417681;1.403849198;1.092930377;0.707656628;0.532508039
PF3D7_0102500;0.317901621333333;0.384789934;0.744248473;1.98842781533333;3.18994077366667;0.333197807666667;0.43956816;0.973477482333333;2.97206744;5.25626598266667
PF3D7_0102600;0.225647806;0.18073466;0.205610421;0.177778699;0.2297432975;0.2307300145;0.153675802;0.297144428;0.234529873;0.2257371065
PF3D7_0102700;0.321641617;0.281142804;0.412633954;0.586669719;0.858158839;0.315212698;0.273086062;0.450180175;0.787640744;1.362140105
PF3D7_0102800;0.8595810385;1.191941863;1.196921114;1.343037222;1.135202218;0.983974787;1.1852765215;0.9092874925;0.8825372745;1.4084451605
PF3D7_0102900;0.7305503725;0.654272439;0.5744373405;0.4751539795;0.4417490755;0.7184577795;0.642219469;0.65550317;0.531420294;0.451474213
PF3D7_0103000;1.974730021;2.829566396;2.757016595;1.706675511;1.236559537;2.533060624;2.560571183;2.157804256;1.355664;0.999417299
PF3D7_0103100;1.89618966733333;2.03752965766667;2.05327793066667;2.287419301;1.741093867;2.0666308985;2.15042282933333;1.88744106433333;1.81116708466667;1.587234142
PF3D7_0103200;1.343913431;1.054609421;0.8697815195;0.691720765;0.527058179;1.194826473;1.0046036265;1.048294952;0.59106949;0.487167688
