X;dnadTP1.1;dnadTP1.2;dnadTP1.3;dnadTP1.1C;dnadTP1.2C;dnadTP1.3C;dnad2TP1.1;dnad2TP1.2;dnad2TP1.1C;dnad2TP1.2C
PF3D7_0100100;-1.51146822125;-1.414985942;-1.480916905;-0.8369038935;-0.70265395325;-0.65827569875;-1.8270413495;-1.68022672225;-1.0564991965;-1.0564991965
PF3D7_0100200;-0.251848321;-0.275200852;-0.142688813;0.400384182;0.299196562;0.270167881;-0.55786634;-0.308982209;0.000621493;0.000621493
PF3D7_0100300;-0.7589901845;-0.5854848425;-0.4730428265;-0.0607702885;-0.214679237;-0.0721894175;-0.4869144035;-1.014128124;0.2244283965;0.2244283965
PF3D7_0100400;-0.028680924;0.296378181;0.118008675;0.644156487;0.592558742;0.589299026;-0.12685057;0.252653918;0.710756285;0.710756285
PF3D7_0100600;-1.310756532;-1.116829161;-0.391653287;-0.479173855;-0.140947117;0.044861278;-1.49756289;-0.198946562;-0.752122529;-0.752122529
PF3D7_0100800;-0.442389581;-0.756515036;-1.503239228;-0.327989511;-0.631312561;-0.570588984;-1.141061399;-1.209154151;-1.103687544;-1.103687544
PF3D7_0101000;-0.390098609;-0.65971818;-0.820999177;-0.126655698;-0.05264969;-0.225323778;-0.382622846;-0.670193669;0.338074603;0.338074603
PF3D7_0101600;-0.364527064;-0.349262964;-0.320056788;0.096668749;-0.052616502;-0.13556412;-0.434914913;-0.503936879;0.504067636;0.504067636
PF3D7_0101800;-0.931303403;-0.925350612;-0.658926073;-0.664143883;-0.384581669;-0.234028785;-1.016356295;-0.066427865;-0.123267918;-0.123267918
PF3D7_0102200;-0.2102099195;-0.736295825;0.228985827;-0.56538831;-0.233991046;-0.974954862;-1.02800251;-0.262422246;-0.7412643395;-0.7412643395
PF3D7_0102300;-0.424848564;-0.915921992;-0.484939751;-1.038121898;-0.13134071;-0.116211418;-0.942171858;0.202267868;-0.895079955;-0.895079955
PF3D7_0102400;0.143308765;0.227085972;0.337801172;0.354982732;0.016737637;-0.09970285;0.5066012;0.247629142;0.793740043;0.793740043
PF3D7_0102500;-0.967580651333333;-1.092632893;-0.479572569;-0.689065085333333;-0.217509850333333;-0.157359387;-1.55418909966667;-0.317695036666667;-1.13688755533333;-1.13688755533333
PF3D7_0102600;0.748321806;0.378020708;0.5806979035;0.537751317;0.4458147415;0.275812188;0.2836004285;0.080572666;0.2184570285;0.2184570285
PF3D7_0102700;0.240487902;-0.129109338;-0.599082497;0.44838412;-0.003219103;-0.165493697;0.32529492;-0.020253297;0.214281578;0.214281578
PF3D7_0102800;0.2193777155;0.365530395;1.0041931435;0.373553899;0.4032097875;0.392139485;-0.106500111;0.1810871215;-0.137154311;-0.137154311
PF3D7_0102900;0.0499082875;-0.048060674;-0.0357648575;0.1658319115;0.0586598975;0.0345907435;-0.189877494;-0.364758468;-0.03162628;-0.03162628
PF3D7_0103000;-0.035638193;0.183257428;0.2457973;-0.094475279;-0.052732246;0.158582047;-0.145402644;0.011179514;-0.529241188;-0.529241188
PF3D7_0103100;-0.145783483;-0.208994125666667;0.092416757;-0.158712618666667;-0.000783313000000008;-0.0768067123333333;0.418365379;-0.0990602163333333;0.0708254156666667;0.0708254156666667
PF3D7_0103200;0.6315140005;0.7462769955;0.8018233065;0.385371068;0.239515196;0.3685549755;0.577035344;1.1144184785;0.446373694;0.446373694
PF3D7_0103300;-0.9709621065;-0.979961267;-1.219673343;-0.7265598615;-0.218658668;-0.322676872;-0.753450787;-0.00256126;-0.4019709105;-0.4019709105
PF3D7_0103400;-0.366716297;-0.2238038955;0.0218427926666667;-0.182621476666667;-0.4432599835;-0.243001773;-0.197903211666667;-0.415458399666667;-0.0826603036666667;-0.0826603036666667
PF3D7_0103500;-0.507651967333333;-0.435724282;-0.466994337666667;-0.274574343666667;-0.175631508;-0.163833403;-0.600686313666667;-0.219906333;-0.501760586333333;-0.501760586333333
PF3D7_0103600;0.181755060333333;0.126083105;0.0926110493333333;0.278011405;0.379615970666667;0.249886244;0.310744404666667;-0.621925139;0.246781868333333;0.246781868333333
PF3D7_0103700;-0.0407998;0.0496590645;-0.0605245485;-0.178733067;-0.2193235845;-0.12923732;0.1126661;0.302235644;0.1578787905;0.1578787905
PF3D7_0103800;-0.128194133;0.00754140849999999;-0.056530648;-0.074345059;-0.079864887;0.071389635;-0.2028747045;0.502769562;-0.130169931;-0.130169931
PF3D7_0103900;-0.91672378;-0.0928655765;0.1619642865;-0.125145503;-0.2464539305;-0.1714642815;-0.1172473815;-0.4881498145;0.0377791505;0.0377791505
PF3D7_0104000;0.020107058;0.019678413;0;0.005324755;-0.001506891;-0.00318594;0.011149021;0.003452079;0.030007165;0.030007165
PF3D7_0104100;-0.8970327305;-0.570724908;-1.000730788;-0.982776704;-0.5990150965;-0.4161471985;-0.701792771;-0.204442356;-0.9682386655;-0.9682386655
PF3D7_0104200;-0.2367835465;-0.0279321935;-0.580670882;-0.1510934365;0.057983433;-0.0465479635;-0.15774286;0.2508788535;-0.7570838185;-0.7570838185
PF3D7_0104300;-0.692689406875;-0.709434853875;-0.7831144865;-0.41284031425;-0.170572614;-0.01275778475;-0.450906638375;-0.12419880975;-0.30394902475;-0.30394902475
PF3D7_0104400;-0.725275158;-0.692203653;-0.429998121;-0.2480083585;-0.52057735;-0.281409775;-1.0925399835;-0.9570416565;-0.262683603;-0.262683603
PF3D7_0104500;0.758143382;0.182126612;-0.679093438;0.220256851;0.927572962;0.870694486;0.228462511;1.005300776;-0.62191933;-0.62191933
PF3D7_0104600;-0.0990323706666667;-0.118621119333333;-0.462482468;-0.1879754;0.023567445;-0.020636897;-0.224754256333333;0.372534184;-0.208155092;-0.208155092
PF3D7_0104700;0.3043642515;0.3417458065;-0.0024943255;0.6828991415;0.3413541325;0.4607248125;0.2258401;0.0224724995;0.281896038;0.281896038
PF3D7_0104800;0.5395730375;0.214407775;0.2986045785;0.5315112325;0.3939595705;0.3919480935;0.651160428;0.160336376;0.741327162;0.741327162
