X;MMV_43TP1;MMV_43TP2;MMV_48TP1;MMV_48TP2;MMV_TP1c;MMV_TP2c
PF3D7_0100100;-0.83514189175;1.64109458516667;-0.882475861;1.92768862433333;-0.625866675;1.00660098
PF3D7_0101300;0.674657159;-0.763168045;-1.075569292;-0.080130575;-2.373679374;0.741471843
PF3D7_0102200;-2.1701138545;0.076468448;-1.927305479;-0.084153897;1.14605585575;-0.1084047235
PF3D7_0102300;-0.778395527;-3.560631219;0.768989658;-2.989163456;1.281624152;-1.178200176
PF3D7_0102400;0.67618349;0.507534199;0.753178457;0.559327517;0.10700907;0.658987325
PF3D7_0102500;-2.4521307596;-1.8482011586;-1.3075590124;-1.8552380032;1.2499379556;-2.0547338112
PF3D7_0102600;0.6954150975;0.9332602185;-0.966747978;0.9521827645;-1.489563839;1.0048845255
PF3D7_0102700;-0.576486892;0.58099659;-0.443146538;0.409771045;1.0411217;0.301067139
PF3D7_0102800;-0.3983402835;-1.240819548;0.657166465;-0.8461643375;0.4594392155;-0.4795244605
PF3D7_0102900;0.37664996;0.203155754;-0.210708542;0.1774483495;-0.21264562;0.633695448
PF3D7_0103000;0.584476379;0.431656486;0.171832558;0.536015663;0.57629855;0.641552779
PF3D7_0103100;0.0611309372;-0.1082227564;0.2101565566;-0.0826148932;-0.1307725636;0.0185068828
PF3D7_0103200;0.162826368;-0.6136394925;0.325814919;-0.1170595505;-0.254819123;0.2939981555
PF3D7_0103300;0.223012265;0.709886555;-0.250959212;0.519815664;-0.677275571333333;0.13638982
PF3D7_0103400;0.0718134896;-0.5988638846;0.0952435362;-0.5110545718;0.4710714996;-0.4756812866
PF3D7_0103500;0.731768706333333;-0.175036287333333;0.666554893333333;-0.270236526833333;0.39079542;0.0878055746
PF3D7_0103600;0.427229836;0.3046688246;0.275289965;0.0421828568;0.1247480706;-0.1288385782
PF3D7_0103700;0.6125525565;0.7361251265;0.253450808;0.7720517735;0.328934962;0.545187753
PF3D7_0103800;-1.187642084;-0.219874231;0.954755728;-0.197139147;0.441770734;-1.368034308
PF3D7_0103900;-0.280154409;-0.687005167;0.496351377;-0.445745303;0.854672697;0.075498262
PF3D7_0104100;-1.1047187775;-0.8283722085;1.08634190866667;-1.001821206;1.00726532933333;-1.295474659
PF3D7_0104200;-0.142093838;-1.9931293955;0.3095890625;-1.7220434775;0.914355656;-1.341971158
PF3D7_0104300;0.0621751538;0.2189015587;-0.86945319;0.0103905446;0.3653378622;-0.3244561695
PF3D7_0104400;0.110181716;-0.809913879;0.7380604045;-0.789734882;0.3818668065;-0.809245562
PF3D7_0104500;0.525554994;0.466443165;-0.779646317;0.272362334;-1.05288254;0.4599008
PF3D7_0104600;0.192495344;0.51052594375;0.00204322399999999;0.53965134275;0.115139972333333;0.7795453465
PF3D7_0104800;-0.285956095;-0.94817708;0.804475249;-1.209119773;0.429997093;-0.256143631
PF3D7_0105100;-0.56355439;-1.735804685;0.218916019;-1.473444974;0.134430719;-0.835307196
PF3D7_0105200;0.8510836885;-0.487551233;0.3295963875;-0.0234981225;-0.339238;0.523830972
PF3D7_0105300;-1.975862348;-1.680415513;-0.33162459;-2.162357119;1.200397644;-2.128182777
PF3D7_0105400;-1.708891064;-1.972679749;0.433268126;-1.655471271;0.431201989;-1.691716293
PF3D7_0105500;0.681960364;0.064346652;0.145343235;-0.143285943;-0.569821416;0.36513353
PF3D7_0105600;0.253690153;0.57408819475;-0.217415556;0.480300142;-0.8352725505;0.2428394645
PF3D7_0105700;-0.0819456158888889;-0.162217807666667;0.0967245348888889;-0.218335797111111;0.149833832555556;-0.683296489111111
PF3D7_0105800;-0.936908413333333;-1.863800228;0.841257406666667;-1.60040861866667;0.568851812;-1.33478555666667
PF3D7_0105900;-0.5687344735;-1.19932404;0.884790568;-0.9730862225;0.9796433615;-0.5336628385
PF3D7_0106000;-1.093614785;-1.572269429;0.804119465666667;-1.474795494;0.780053126333333;-1.439509316
PF3D7_0106100;0.544407622;-0.2661257275;0.6791550695;-0.110464842;-0.2725537945;0.0569522605
PF3D7_0106200;-0.255126745;-0.047397969;0.628979834;-0.126693445;0.148011909;-0.404630705
PF3D7_0106300;0.7051494615;0.30467768825;0.22851094675;0.372414751;-0.118056089;-0.0163699385
PF3D7_0106400;0.133879477;-0.113341288;-0.452364147;-0.315811056;-1.054502316;-0.054897747
PF3D7_0106500;-0.17563146725;-0.44491740275;0.078099827;-0.55092173525;0.0874201356666667;-0.5389375355
PF3D7_0106700;1.0462678096;1.1777332908;-0.0659036664;0.7939146846;-0.33158720775;0.3919657488
PF3D7_0106800;-0.017203946;-0.827489514;0.650377605;-0.863458503;0.187792091;-0.295891543
PF3D7_0106900;-0.415449539666667;-1.09698482933333;0.4571775;-1.090689425;0.597709942;-0.995020144666667
PF3D7_0107000;-0.570845171;-1.373597106;0.010730072;-1.388481963;-0.217366856;-1.105213085
PF3D7_0107100;0.2873287345;-0.5159758675;0.0965467205;-0.5707898115;0.405206136;-0.0550962815
PF3D7_0107200;0.662667202;-1.062467274;0.56704866;-0.412293047;0.346592226;0.212217738
PF3D7_0107300;0.3138215725;0.1047705445;0.1671062385;0.3317401975;-0.153829691;0.343744075
PF3D7_0107400;-0.716868996;-1.162328017;0.603695263;-1.172867093;0.60008554;-0.821516085
PF3D7_0107500;0.3896609344;0.5982469415;-0.5879740538;0.51515466725;-0.5903477348;0.2650417264
PF3D7_0107600;0.221926417666667;0.482755301;-0.688369131;0.2337208255;-0.246215979;0.021526782
PF3D7_0107700;0.0216533115;-0.0774483375;0.678157265;-0.151668695;0.0487485385;-0.016465265
PF3D7_0107800;0.175099809333333;-0.5767799735;0.23631714525;-0.401262835;0.351976463;-0.0769782985
PF3D7_0107900;0.250367689;-0.730016984;0.452314318;-0.63213616;-0.675752952;-0.415372291
PF3D7_0108000;0.06004016;-0.568399718;0.078475398;-0.509836413;0.085960257;0.191500784
PF3D7_0108100;0.0665057805;-0.534845251;0.8202411065;-0.0080920265;0.635017221;0.0847649895
PF3D7_0108300;0.0858753997142857;0.358186337857143;-0.314421311142857;0.163098255714286;-0.316166194285714;-0.284498962857143
PF3D7_0108400;0.628065557;-0.099252711;0.416776707;0.144020715;0.04042383;-0.26517946
PF3D7_0108500;-0.972589231;0.738747453;-0.955560864;0.502280063;0.254810198;0.260771627
PF3D7_0108600;-2.026766936;-1.283488967;-1.011266097;-1.715265504;-0.636833092;-1.211142459
PF3D7_0108700;0.55758939025;0.315056081;0.06900381325;0.0868159185;-0.161184422;-0.16862579825
PF3D7_0108800;-0.247861511;-0.325507843;0.323327869;-0.3207571225;0.2057949495;-0.0190345405
PF3D7_0109000;-3.070173372;-2.327838147;-0.703954763;-2.01106536;1.88222155;-2.154353732
PF3D7_0109100;-0.480581254666667;-0.0429221063333333;0.173066326666667;0.009832135;0.7474078985;-0.0568969533333333
PF3D7_0109200;0.309632286;0.189942124;0.372707836;0.411748864;-0.231420521;0.574371194
PF3D7_0109300;0.052771717;-0.022377755;0.537158939;0.126902554;0.203885016;0.108304089
PF3D7_0109400;0.208069501;-0.392392386;-0.246929139;-0.341979327;-0.413363612;-0.111560965
PF3D7_0109500;2.258916449;1.724833661;-0.840554124;1.734721191;-1.859889683;2.035845692
PF3D7_0109600;0.41587987;0.297476777;-0.28199809;0.187887193;-1.04735404;0.378269855
PF3D7_0109700;-0.31676838;0.20135493;-0.850031535;-0.006147125;-0.192222255;0.054171221
PF3D7_0109800;0.2842911095;-0.0080844695;-0.1741385735;-0.0136429455;-1.159681652;0.032741264
PF3D7_0110000;-0.118947518;0.487257868;-0.204135107;0.821039484;-0.517244445;0.456434134
PF3D7_0110100;-0.201485997;0.323401918666667;0.165020749;0.462119494333333;-0.427545807;0.395040512666667
PF3D7_0110200;-0.359805181;-0.477467598;0.089589755;-0.316287636;-0.187356307;-0.310325877
PF3D7_0110400;0.709706704;0.465001772;0.008416861;0.792100732;-0.574044504;0.210565492
PF3D7_0110500;0.550943056428571;0.0512494595714286;0.224840732428571;-0.0858758342857143;-0.00655995671428571;-0.149249919142857
PF3D7_0110600;0.236810938;0.1126768078;-0.1121654634;0.0850314608;-0.4423193548;-0.0538193596
PF3D7_0110700;-0.127610717;-0.849698455;0.452374893;-0.455465813;0.616496858;-0.0206998775
