"","MAL13P1.124","MAL13P1.201","MAL13P1.294","MAL13P1.332","MAL13P1.337","MAL8P1.152","MAL8P1.35","MAL8P1.55","PF10_0159","PF10_0195","PF10_0257","PF10_0286","PF10_0348","PF11_0096","PF11_0141","PF11_0146","PF11_0212","PF11_0276","PF11_0404","PF11_0414","PF11_0471","PF13_0013","PF13_0031","PF13_0036","PF13_0095","PF14_0121","PF14_0133","PF14_0178","PF14_0185","PF14_0214","PF14_0261","PF14_0314","PF14_0346","PF14_0415","PF14_0545","PFA0300c","PFC0610c","PFD0180c","PFD0295c","PFE1430c","PFE1550w","PFF0610c","PFF0625w","PFI1510w","PFI1545c","PFI1655c","PFL0420w","PFL1335w","PFL1400c","PFL1815c","D_class","Class","Compound"
"HDATP1"," 0.433662985"," 0.3488807114","-0.790844282"," 1.718627096","-0.15834995"," 0.8015780917"," 0.623399883","-0.507939951"," 0.38075516","-0.418851059"," 0.429820107","-0.541688355","-1.3269252749"," 0.273273978","-0.9628359906","-0.422086428","-0.3983483926"," 0.1538408047"," 1.1169987592"," 0.719715931"," 2.865062e-01","-0.539026698"," 1.210735953"," 0.064544012","-0.80491905"," 0.9807877480"," 0.158688950","-1.399697051"," 0.526905790"," 0.5774690671","-0.145376339","-1.009464042","-0.4850207992","-0.547248106","-1.2175589521","-0.718537257"," 2.201144844","-0.6285089222","-0.16604936","-0.978750123"," 1.067880392"," 0.330104665","-0.307949883"," 1.159465049","-0.62450539"," 0.70900525","-1.0244501027"," 0.241152624","-0.225023188"," 0.539638795",1,1,"HDA"
"HDATP1.1"," 0.280499154"," 0.4090742256","-0.815856326"," 0.935918918","-0.32932936"," 0.1210241534"," 0.017945974"," 0.022605349"," 0.18827099"," 0.022789596","-0.770610893"," 0.059730698","-0.2468656421","-0.060803761","-0.7298508519","-0.122540038","-0.2975239953","-0.2139358620"," 0.0868452903"," 0.528666199","-1.808552e-01","-0.130742246"," 0.538237896","-0.364219103","-0.10213417"," 0.3202264914","-0.137719569","-0.602875542"," 0.187788678","-0.4240726251"," 0.255663734","-0.735702995","-0.7338668720"," 0.418906072","-0.5049293041"," 0.015464641"," 0.625513573"," 0.0895316116","-0.25305126","-0.432274549"," 0.371907090"," 0.001531456","-0.035269730"," 0.281141147"," 0.22805547"," 0.21986977","-0.2583948061"," 0.003348436","-0.164389321"," 0.190073438",1,1,"HDA"
"HDATP2"," 0.048089475"," 0.3565912739","-1.219750052"," 2.141281099","-0.48525073"," 0.3904131952"," 0.669886035","-0.269610247","-0.17330418","-0.799986266"," 0.101495309","-0.766844974","-1.1083098577","-0.127357517","-0.6911761995","-0.029493396","-0.3890496403"," 0.0356745885"," 0.7937472342"," 0.782826090"," 2.567236e-01","-0.440431424"," 1.314565260"," 0.063271279","-0.08537403"," 0.8284510501","-0.304585734","-1.646661652"," 0.135690031"," 0.6843744292"," 0.186544465","-1.148351491","-0.4491593897"," 0.004374309"," 0.0213851102","-0.004840038"," 2.329332163","-0.8572403851","-0.24177432","-0.887294110"," 1.610587135","-0.027247997","-0.455748822"," 0.980051256","-0.68324969"," 0.86845460","-1.2526603125"," 0.069447984","-0.328616976"," 0.119704714",1,1,"HDA"
"HDATP2.2"," 0.140786520"," 0.0661039966","-0.386898626"," 0.409021370","-0.13685794"," 0.0458924118"," 0.179609576"," 0.092344466"," 0.61527112"," 0.612561227","-0.372508871"," 0.340848823","-0.1670318245"," 0.100072420","-0.5911227177","-0.358242623","-0.3409946139"," 0.1485152109","-0.0240445803"," 0.083879480","-2.441114e-01","-0.034876403"," 0.136285116","-0.486650090"," 0.01037766"," 0.2548954738","-0.218746331","-0.251464201"," 0.008764768","-0.7347742183","-0.209012047","-0.476709373","-0.3924828938"," 0.009751450","-0.8157296305","-0.517242515"," 0.368181964"," 0.0949071897","-0.15851021","-0.314229051","-0.121870896"," 0.088294448"," 0.145198178"," 0.087651359"," 0.22928594","-0.02335419","-0.1833118205","-0.135841851","-0.116022712"," 0.362446880",1,1,"HDA"
"HDATP3"," 0.138395010","-0.0671853727","-0.580372452"," 0.848159880"," 0.13443833"," 0.1217695911"," 0.338126659"," 0.011999543"," 0.12562379"," 0.726411962","-0.139173848","-0.213382311"," 0.3317489780"," 0.112873083","-0.2265491503"," 0.013961180"," 0.0383991628"," 0.0423042876","-0.0146226823","-0.061315606"," 5.854469e-02"," 0.351709613"," 0.419184241","-0.109171885"," 0.39657541"," 0.2230350693","-0.310068282","-0.507161734"," 0.297678728","-0.0729155267","-0.273018637","-0.395140442"," 0.0864513226","-0.158279601","-0.7507641049","-0.209786145"," 0.069738772","-0.1931155042"," 0.62530425","-0.328286785"," 0.493674377","-0.147470106","-0.323430013","-0.180383271"," 0.32368521"," 0.33982119","-0.0608604208","-0.070503358","-0.404097024"," 0.513769332",1,1,"HDA"
"HDATP3.3","-0.054201196"," 0.1294091112","-0.735140062"," 0.472855502"," 0.12761413"," 0.2073677749","-0.119810742"," 0.075286479"," 0.41250151"," 0.287490097","-0.162750842"," 0.088968195","-0.3070908697"," 0.442767557","-0.4441794463","-0.164897282","-0.0135178369","-0.0787969064","-0.0883809050"," 0.339716691","-2.633426e-02"," 0.104365619"," 0.454808725","-0.328912527"," 0.05478049"," 0.0215894524","-0.291774854","-0.510505040"," 0.075106165","-0.0970430449"," 0.235053654","-0.736260646","-0.2721755325","-0.022116986","-0.3452539794","-0.249155471"," 0.112420626","-0.1537838643","-0.19850019","-0.079159750","-0.033594829","-0.072106864","-0.039551453"," 0.141811800"," 0.13321318"," 0.31654255","-0.0790647421"," 0.044976474","-0.244824665"," 0.231472004",1,1,"HDA"
"ACTTP1"," 0.202264094","-0.7099078795"," 0.141642628","-0.466147827"," 0.10907376","-0.0544539277"," 0.586934832"," 0.090494364"," 0.36016415","-0.154257281","-0.039564168","-0.087230802","-0.2081828050"," 0.727885634","-0.3922772003","-0.910055648"," 0.0199651504","-0.2667900881"," 0.2113066637","-0.124141712","-6.456441e-02"," 0.010451388","-0.163339067","-0.169511868"," 0.24425936","-0.0403349584","-0.112394787","-0.156843561","-0.173267232"," 0.0157864428"," 0.083821434"," 0.498939632"," 0.1889175542","-0.576040370","-0.4495598968","-0.677708329","-0.349673356","-0.0506879120"," 0.07428828","-0.294534449","-0.632024009"," 0.371603352","-0.092415086"," 0.013738286"," 0.37543671"," 0.26426550","-0.0041316499"," 0.602575191"," 0.007885597"," 0.461946325",2,2,"ACTd"
"ACTTP2","-0.516225196","-0.1854794858","-0.550277612"," 0.175278156"," 0.20753825"," 0.6853067299"," 0.579011135","-0.162662785","-0.89960126"," 0.421155908","-0.151477911"," 0.089338093","-0.1640218718"," 0.587505883","-0.4810942075","-0.648694966"," 0.0337899577"," 0.1899025226"," 0.2838746875"," 0.084502714"," 2.301977e-01","-0.011099007"," 0.267855394","-0.163553759","-0.10529164"," 0.0981560432","-0.119101436"," 0.359575539"," 0.141919772","-0.5948214967","-0.452724944"," 0.476425421"," 0.0351015128","-0.165376224","-0.7837252274","-0.875567998"," 0.389031880"," 0.0247490187","-0.15235876"," 0.287129277","-0.061763291","-0.462228489","-0.554896659"," 0.412727110","-0.61167966"," 0.31628864","-0.0847595591"," 0.232389894"," 0.006046883","-0.077739651",2,2,"ACTd"
"ACTTP3","-0.427260943"," 0.3763040546","-0.377034031","-0.520500803","-0.70672566"," 0.4164014069"," 0.588724150","-0.481124063"," 0.11175960","-0.013682061"," 0.406791679","-0.174812928","-0.4892364302"," 0.441060698","-1.7392558353","-0.541133627","-0.1889128543","-0.0250411652"," 0.2254049002"," 0.200094252"," 5.073681e-01","-0.225243636"," 0.183546617"," 0.137945272"," 0.08971356","-0.1962913879"," 0.027794428","-0.231744773"," 0.205829381"," 0.0261267177","-0.381319059","-0.059317957","-0.3728793939","-0.632450175","-1.9745556839","-0.476866021"," 0.887297311"," 0.2778071237"," 0.38042834","-0.733986812","-0.155076931","-0.045344622"," 0.102811874"," 0.649375655","-0.49044196","-0.67222451","-0.3789037965"," 0.133131972"," 0.134806960"," 0.440850715",2,2,"ACTd"
"ACTTP4"," 0.061328012"," 0.1033760008","-0.206514574","-0.239238477","-0.37270189"," 0.9557923422"," 0.427305191","-0.317715455"," 0.58013421"," 0.418043234"," 0.570326384","-0.494562040"," 0.2192756281"," 0.178792155","-0.6718269329","-0.925953181","-0.5232945404","-0.3483381201"," 0.5533655986","-0.534412950"," 6.916912e-01","-0.341691248"," 0.053190071","-0.605724151","-0.11671821"," 0.0004860545"," 0.679850440","-0.337279390"," 0.351575202","-0.1100961750","-0.298160655"," 0.409544551","-0.3540231363","-1.367706516","-1.0616614725","-0.557723862"," 1.670884612"," 0.5493611198","-1.38743237","-0.685603844","-0.033444250","-0.403076390"," 0.945221954"," 0.471242733"," 0.37318883","-0.69267866","-0.4955380093","-0.254663445"," 0.162380639"," 0.791864713",2,2,"ACTd"
