"","MAL13P1.124","MAL13P1.201","MAL13P1.294","MAL13P1.332","MAL13P1.337","MAL8P1.152","MAL8P1.35","MAL8P1.53","MAL8P1.55","PF07_0116","PF10_0159","PF10_0195","PF10_0257","PF10_0286","PF10_0340","PF10_0348","PF10_0374","PF11_0096","PF11_0141","PF11_0146","PF11_0212","PF11_0276","PF11_0404","PF11_0414","PF11_0471","PF13_0013","PF13_0031","PF13_0036","PF13_0088","PF13_0095","PF13_0209","PF14_0121","PF14_0133","PF14_0178","PF14_0185","PF14_0214","PF14_0261","PF14_0286","PF14_0292","PF14_0314","PF14_0346","PF14_0415","PF14_0439","PF14_0545","PFA0300c","PFB0715w","PFB0820c","PFC0225c","PFC0315c","PFC0570c","PFC0610c","PFC0705c","PFC0960c","PFD0180c","PFD0295c","PFE0335w","PFE1430c","PFE1550w","PFF0610c","PFF0625w","PFF1395c","PFI0230c","PFI1275w","PFI1510w","PFI1545c","PFI1580c","PFI1655c","PFL0420w","PFL0450c","PFL0565w","PFL0980w","PFL1335w","PFL1400c","PFL1815c","PFL2220w","D_class","Class","Compound"
"HDATP1"," 0.433662985"," 0.3488807114","-0.790844282"," 1.718627096","-0.15834995"," 0.8015780917"," 0.623399883"," 0.236227111","-0.507939951"," 0.614024574"," 0.38075516","-0.418851059"," 0.429820107","-0.541688355"," 1.220330e-01","-1.3269252749"," 0.360651106"," 0.273273978","-0.9628359906","-0.422086428","-0.3983483926"," 0.1538408047"," 1.1169987592"," 0.719715931"," 2.865062e-01","-0.539026698"," 1.210735953"," 0.064544012","-0.22898295","-0.80491905"," 0.1161476855"," 0.9807877480"," 0.158688950","-1.399697051"," 0.526905790"," 0.5774690671","-0.145376339"," 2.381019e-01"," 0.4994581135","-1.009464042","-0.4850207992","-0.547248106"," 1.171804065","-1.2175589521","-0.718537257","-0.492029462"," 6.231837e-01","-1.231930337","-0.7472521169"," 0.451216537"," 2.201144844"," 0.768367678"," 0.0001286056","-0.6285089222","-0.16604936","-0.5505887315","-0.978750123"," 1.067880392"," 0.330104665","-0.307949883","-0.913294612"," 0.434604368","-0.734276034"," 1.159465049","-0.62450539"," 0.424406958"," 0.70900525","-1.0244501027","-0.678030469","-0.12079281"," 0.5517402881"," 0.241152624","-0.225023188"," 0.539638795"," 0.190533690",1,1,"HDA"
"HDATP1.1"," 0.280499154"," 0.4090742256","-0.815856326"," 0.935918918","-0.32932936"," 0.1210241534"," 0.017945974"," 0.106829962"," 0.022605349","-0.008638789"," 0.18827099"," 0.022789596","-0.770610893"," 0.059730698","-3.318311e-01","-0.2468656421","-0.192086718","-0.060803761","-0.7298508519","-0.122540038","-0.2975239953","-0.2139358620"," 0.0868452903"," 0.528666199","-1.808552e-01","-0.130742246"," 0.538237896","-0.364219103"," 0.56908025","-0.10213417","-0.2174980426"," 0.3202264914","-0.137719569","-0.602875542"," 0.187788678","-0.4240726251"," 0.255663734","-3.281362e-01","-0.4573765419","-0.735702995","-0.7338668720"," 0.418906072"," 0.432604536","-0.5049293041"," 0.015464641","-0.273339117"," 2.994854e-01","-1.177058863"," 0.0141797468"," 0.230185635"," 0.625513573"," 0.350653568"," 0.0406545662"," 0.0895316116","-0.25305126","-0.1391753910","-0.432274549"," 0.371907090"," 0.001531456","-0.035269730"," 0.088566534"," 0.136566051","-0.238714146"," 0.281141147"," 0.22805547"," 0.124426896"," 0.21986977","-0.2583948061"," 0.097991973","-0.08220163"," 0.3435997486"," 0.003348436","-0.164389321"," 0.190073438","-0.346515012",1,1,"HDA"
"HDATP2"," 0.048089475"," 0.3565912739","-1.219750052"," 2.141281099","-0.48525073"," 0.3904131952"," 0.669886035"," 0.184512462","-0.269610247"," 1.321221462","-0.17330418","-0.799986266"," 0.101495309","-0.766844974"," 1.212860e-01","-1.1083098577"," 0.336350326","-0.127357517","-0.6911761995","-0.029493396","-0.3890496403"," 0.0356745885"," 0.7937472342"," 0.782826090"," 2.567236e-01","-0.440431424"," 1.314565260"," 0.063271279"," 0.23523380","-0.08537403"," 0.0632489365"," 0.8284510501","-0.304585734","-1.646661652"," 0.135690031"," 0.6843744292"," 0.186544465","-3.252663e-01"," 0.3808078863","-1.148351491","-0.4491593897"," 0.004374309"," 1.227284430"," 0.0213851102","-0.004840038","-0.669253565"," 4.728288e-02","-1.607769259","-0.3153064259"," 0.148861796"," 2.329332163"," 0.523193337"," 0.0786063724","-0.8572403851","-0.24177432","-0.6340591284","-0.887294110"," 1.610587135","-0.027247997","-0.455748822","-1.265515370"," 0.053730110","-0.986679376"," 0.980051256","-0.68324969"," 0.158916084"," 0.86845460","-1.2526603125","-1.254125868"," 0.22361985"," 0.2419656299"," 0.069447984","-0.328616976"," 0.119704714"," 0.488355520",1,1,"HDA"
"HDATP2.2"," 0.140786520"," 0.0661039966","-0.386898626"," 0.409021370","-0.13685794"," 0.0458924118"," 0.179609576"," 0.086491592"," 0.092344466","-0.225524817"," 0.61527112"," 0.612561227","-0.372508871"," 0.340848823","-5.010428e-01","-0.1670318245","-0.583802270"," 0.100072420","-0.5911227177","-0.358242623","-0.3409946139"," 0.1485152109","-0.0240445803"," 0.083879480","-2.441114e-01","-0.034876403"," 0.136285116","-0.486650090"," 0.23115379"," 0.01037766","-0.2842449172"," 0.2548954738","-0.218746331","-0.251464201"," 0.008764768","-0.7347742183","-0.209012047"," 4.256218e-05","-0.2362397465","-0.476709373","-0.3924828938"," 0.009751450"," 0.181993762","-0.8157296305","-0.517242515"," 0.349134007"," 7.121495e-02","-0.602576521"," 0.0007907434"," 0.136047312"," 0.368181964","-0.031420552"," 0.1220187232"," 0.0949071897","-0.15851021","-0.0184529546","-0.314229051","-0.121870896"," 0.088294448"," 0.145198178"," 0.401338399"," 0.120307281","-0.018766781"," 0.087651359"," 0.22928594"," 0.458474418","-0.02335419","-0.1833118205"," 0.288439750","-0.19602750"," 0.3538890494","-0.135841851","-0.116022712"," 0.362446880","-0.488961601",1,1,"HDA"
"HDATP3"," 0.138395010","-0.0671853727","-0.580372452"," 0.848159880"," 0.13443833"," 0.1217695911"," 0.338126659"," 0.515527446"," 0.011999543"," 0.105933202"," 0.12562379"," 0.726411962","-0.139173848","-0.213382311","-3.263024e-01"," 0.3317489780"," 0.299636637"," 0.112873083","-0.2265491503"," 0.013961180"," 0.0383991628"," 0.0423042876","-0.0146226823","-0.061315606"," 5.854469e-02"," 0.351709613"," 0.419184241","-0.109171885"," 0.07463042"," 0.39657541","-0.4431497469"," 0.2230350693","-0.310068282","-0.507161734"," 0.297678728","-0.0729155267","-0.273018637","-6.576253e-02","-0.3653221428","-0.395140442"," 0.0864513226","-0.158279601"," 0.555750233","-0.7507641049","-0.209786145"," 0.125187066"," 1.558016e-01","-0.510745963","-0.1109695182","-0.029996732"," 0.069738772"," 0.034349367","-0.1442935090","-0.1931155042"," 0.62530425","-0.2411587075","-0.328286785"," 0.493674377","-0.147470106","-0.323430013"," 0.244727360"," 0.273685409","-0.197854700","-0.180383271"," 0.32368521"," 0.088732827"," 0.33982119","-0.0608604208"," 0.202511741","-0.33714572"," 0.4458053759","-0.070503358","-0.404097024"," 0.513769332","-0.281148008",1,1,"HDA"
"HDATP3.3","-0.054201196"," 0.1294091112","-0.735140062"," 0.472855502"," 0.12761413"," 0.2073677749","-0.119810742"," 0.262072094"," 0.075286479","-0.031209313"," 0.41250151"," 0.287490097","-0.162750842"," 0.088968195","-2.882950e-01","-0.3070908697"," 0.235180556"," 0.442767557","-0.4441794463","-0.164897282","-0.0135178369","-0.0787969064","-0.0883809050"," 0.339716691","-2.633426e-02"," 0.104365619"," 0.454808725","-0.328912527"," 0.16746754"," 0.05478049","-0.1270853600"," 0.0215894524","-0.291774854","-0.510505040"," 0.075106165","-0.0970430449"," 0.235053654","-1.749299e-01","-0.2327408181","-0.736260646","-0.2721755325","-0.022116986"," 0.239876837","-0.3452539794","-0.249155471","-0.019922166"," 1.738743e-01","-0.564067070","-0.0909959737","-0.032943202"," 0.112420626"," 0.112603779","-0.0470686137","-0.1537838643","-0.19850019","-0.2593487120","-0.079159750","-0.033594829","-0.072106864","-0.039551453"," 0.267741221"," 0.324309814","-0.076786613"," 0.141811800"," 0.13321318"," 0.186669420"," 0.31654255","-0.0790647421"," 0.389517266","-0.26372945"," 0.3914518666"," 0.044976474","-0.244824665"," 0.231472004","-0.580583351",1,1,"HDA"
"ACTTP1"," 0.202264094","-0.7099078795"," 0.141642628","-0.466147827"," 0.10907376","-0.0544539277"," 0.586934832"," 0.117399931"," 0.090494364","-0.426065820"," 0.36016415","-0.154257281","-0.039564168","-0.087230802"," 2.559556e-01","-0.2081828050"," 0.193954445"," 0.727885634","-0.3922772003","-0.910055648"," 0.0199651504","-0.2667900881"," 0.2113066637","-0.124141712","-6.456441e-02"," 0.010451388","-0.163339067","-0.169511868","-0.62551562"," 0.24425936","-0.4673910221","-0.0403349584","-0.112394787","-0.156843561","-0.173267232"," 0.0157864428"," 0.083821434"," 8.239979e-02"," 0.3442600309"," 0.498939632"," 0.1889175542","-0.576040370"," 0.313972623","-0.4495598968","-0.677708329"," 0.143966744"," 2.441397e-01"," 0.097629059","-0.7725467582"," 0.064119747","-0.349673356"," 0.160489905","-0.2959197485","-0.0506879120"," 0.07428828"," 0.1811834055","-0.294534449","-0.632024009"," 0.371603352","-0.092415086"," 0.072809238","-0.041448265"," 0.025792196"," 0.013738286"," 0.37543671"," 0.166795968"," 0.26426550","-0.0041316499"," 0.236273071"," 0.33704446"," 0.3704789272"," 0.602575191"," 0.007885597"," 0.461946325","-0.475915852",2,2,"ACTd"
"ACTTP2","-0.516225196","-0.1854794858","-0.550277612"," 0.175278156"," 0.20753825"," 0.6853067299"," 0.579011135","-0.083317837","-0.162662785","-0.830828943","-0.89960126"," 0.421155908","-0.151477911"," 0.089338093"," 5.862699e-01","-0.1640218718"," 0.196059729"," 0.587505883","-0.4810942075","-0.648694966"," 0.0337899577"," 0.1899025226"," 0.2838746875"," 0.084502714"," 2.301977e-01","-0.011099007"," 0.267855394","-0.163553759","-1.13375551","-0.10529164"," 0.1860253836"," 0.0981560432","-0.119101436"," 0.359575539"," 0.141919772","-0.5948214967","-0.452724944"," 1.123479e-01"," 0.0112342801"," 0.476425421"," 0.0351015128","-0.165376224","-0.416872064","-0.7837252274","-0.875567998","-0.060227536"," 1.770741e-01","-0.035788477"," 1.0891951836"," 0.671838614"," 0.389031880","-0.348075476","-0.4457109033"," 0.0247490187","-0.15235876"," 0.8859216650"," 0.287129277","-0.061763291","-0.462228489","-0.554896659"," 0.305808338"," 0.146442276"," 0.401947704"," 0.412727110","-0.61167966"," 0.325087233"," 0.31628864","-0.0847595591"," 0.254680235"," 0.46319767"," 0.2917871906"," 0.232389894"," 0.006046883","-0.077739651","-0.352742603",2,2,"ACTd"
"ACTTP3","-0.427260943"," 0.3763040546","-0.377034031","-0.520500803","-0.70672566"," 0.4164014069"," 0.588724150","-0.304813057","-0.481124063","-0.571061766"," 0.11175960","-0.013682061"," 0.406791679","-0.174812928"," 4.773390e-01","-0.4892364302"," 0.044743722"," 0.441060698","-1.7392558353","-0.541133627","-0.1889128543","-0.0250411652"," 0.2254049002"," 0.200094252"," 5.073681e-01","-0.225243636"," 0.183546617"," 0.137945272","-0.76771823"," 0.08971356"," 0.2022201216","-0.1962913879"," 0.027794428","-0.231744773"," 0.205829381"," 0.0261267177","-0.381319059"," 5.308760e-01"," 0.6946010109","-0.059317957","-0.3728793939","-0.632450175","-0.943130369","-1.9745556839","-0.476866021"," 0.190423149"," 2.986214e-01","-0.390618963","-0.0880857799","-0.096362660"," 0.887297311","-0.339871185"," 0.2346743051"," 0.2778071237"," 0.38042834"," 0.4156185956","-0.733986812","-0.155076931","-0.045344622"," 0.102811874","-0.379710261"," 0.241518321"," 0.181673123"," 0.649375655","-0.49044196"," 0.215742456","-0.67222451","-0.3789037965"," 0.119124208"," 0.80999145","-0.1206258041"," 0.133131972"," 0.134806960"," 0.440850715","-0.451270862",2,2,"ACTd"
"ACTTP4"," 0.061328012"," 0.1033760008","-0.206514574","-0.239238477","-0.37270189"," 0.9557923422"," 0.427305191","-0.324789503","-0.317715455","-0.805346272"," 0.58013421"," 0.418043234"," 0.570326384","-0.494562040"," 8.500194e-01"," 0.2192756281"," 0.023136419"," 0.178792155","-0.6718269329","-0.925953181","-0.5232945404","-0.3483381201"," 0.5533655986","-0.534412950"," 6.916912e-01","-0.341691248"," 0.053190071","-0.605724151","-0.91989385","-0.11671821"," 0.1626769420"," 0.0004860545"," 0.679850440","-0.337279390"," 0.351575202","-0.1100961750","-0.298160655"," 6.690681e-01"," 0.4716559806"," 0.409544551","-0.3540231363","-1.367706516","-1.101377486","-1.0616614725","-0.557723862"," 0.095316606"," 2.676814e-01"," 0.049533342"," 0.0918431850"," 0.598535925"," 1.670884612","-0.245865609"," 0.3940303423"," 0.5493611198","-1.38743237","-0.8398007855","-0.685603844","-0.033444250","-0.403076390"," 0.945221954","-0.174456438"," 0.332532569"," 0.060869946"," 0.471242733"," 0.37318883"," 0.226389489","-0.69267866","-0.4955380093"," 0.247645316","-0.13555543","-0.1164159106","-0.254663445"," 0.162380639"," 0.791864713","-1.117696451",2,2,"ACTd"
