"","MAL13P1.301","MAL7P1.137","MAL7P1.18","MAL8P1.55","PF07_0049","PF10_0142","PF10_0215","PF10_0321","PF10_0374","PF11_0276","PF11_0354","PF11_0396","PF11_0471","PF11_0527","PF13_0081","PF13_0107","PF14_0062","PF14_0139","PF14_0238","PF14_0507","PF14_0512","PF14_0598","PF14_0642","PF14_0736","PFB0161c","PFB0530c","PFB0655c","PFB0745w","PFC0090w","PFC0885c","PFC0960c","PFD0625c","PFE0830c","PFE1320w","PFF0200c","PFF0610c","PFF0875w","PFF0940c","PFF1150w","PFF1315w","PFF1580c","PFI1020c","PFI1580c","PFI1770w","PFL0175c","PFL0585w","PFL1125w","PFL1240c","PFL1815c","PFL2235w","D_class","Class","Compound"
"HDATP1","-1.139620579"," 1.29754783"," 1.187050882","-0.507939951","-0.174824374","-0.278303885","-0.6812559840","-0.390101180"," 0.360651106"," 0.1538408047"," 1.682240e-01"," 1.045323687"," 2.865062e-01"," 0.79786161"," 0.044784972","-0.484307000","-0.84546545"," 0.8583952953"," 0.139804803","-0.9892701879"," 0.743544561"," 0.122721030","-1.038829259","-0.68234056"," 0.19559782","-0.160819862","-0.150006979","-0.614965888"," 0.746242952"," 0.915885348"," 0.0001286056"," 0.216384086","-0.269300522"," 0.325559059"," 0.39835576"," 0.330104665"," 0.3563599044","-0.802065346"," 0.421092401"," 0.426199970","-1.5726271488","-0.371870152"," 0.424406958","-1.399255866","-0.8728944983","-0.327746989"," 0.2215403578"," 0.957239806"," 0.539638795"," 0.4089081835",1,1,"HDA"
"HDATP1.1"," 0.295019713"," 0.19726455","-0.058054760"," 0.022605349","-0.765414947","-0.139930990","-0.1436921784"," 0.396992774","-0.192086718","-0.2139358620"," 1.204764e-01"," 0.236921855","-1.808552e-01"," 0.48435463","-0.068459571"," 0.263303291","-0.35516935"," 0.3722527518","-0.683072225"," 0.0918822852"," 0.204523015"," 0.394976646","-0.634430446","-0.78987942"," 0.13447649","-0.132207904"," 0.095652221"," 0.864540125"," 0.451847455","-0.210865612"," 0.0406545662","-0.527005780"," 0.209325329","-0.407432451","-0.05209524"," 0.001531456"," 0.4983639547","-0.339852665","-0.415638803"," 0.162643446","-0.3891369340","-0.279231749"," 0.124426896"," 0.822825317","-0.0994131748"," 0.239231113"," 0.1219869692"," 0.506278783"," 0.190073438","-0.0726791136",1,1,"HDA"
"HDATP2","-0.767490616"," 0.69273347"," 0.657141006","-0.269610247","-0.029958806","-0.178627302","-0.2330630401","-0.248007055"," 0.336350326"," 0.0356745885","-2.709832e-01"," 0.414070273"," 2.567236e-01"," 1.04950887","-0.796323986","-0.915594601","-0.50620868"," 0.6717640838","-0.286464150","-0.0452778323"," 1.007961234"," 0.608045003","-1.006491060","-0.86917547"," 0.39041528"," 0.105145659","-0.103291767","-0.252390372"," 0.321200863"," 0.353734514"," 0.0786063724","-0.171523750","-0.633127478"," 0.074610064"," 0.34289732","-0.027247997"," 0.3361640448","-0.412311696"," 0.100165532"," 0.488620319","-1.7140985879","-0.133228269"," 0.158916084","-0.815826435","-0.1320605797"," 0.090292887"," 0.2121158559"," 1.022780082"," 0.119704714"," 0.1267542425",1,1,"HDA"
"HDATP2.2"," 0.266236270"," 0.05674341","-0.261872206"," 0.092344466","-0.424767033","-0.023856034","-0.3486290673"," 0.064008282","-0.583802270"," 0.1485152109"," 1.876857e-01"," 0.417745916","-2.441114e-01"," 0.22345964"," 0.024319296"," 0.649806378"," 0.45165328"," 0.0923838327","-0.360382903","-0.0716882242"," 0.008465229"," 0.327162120","-0.288439576","-0.19473846","-0.17600151","-0.174602788","-0.012928384"," 0.487065086"," 0.295832531"," 0.065117021"," 0.1220187232","-0.458924923"," 0.163879485","-0.275722144","-0.03864190"," 0.088294448"," 0.3986275880","-0.322931787","-0.308264460"," 0.128456618","-0.5341031380","-0.340756348"," 0.458474418"," 0.704604255"," 0.0009130111","-0.064657138","-0.0775694509"," 0.144393534"," 0.362446880","-0.2606444551",1,1,"HDA"
"HDATP3","-0.073853254"," 0.32358145","-0.166752192"," 0.011999543"," 0.174885890"," 0.045738043","-0.1421995787","-0.180040072"," 0.299636637"," 0.0423042876"," 1.625406e-01"," 0.053970745"," 5.854469e-02"," 0.57564540"," 0.224319098"," 0.395607195","-0.14073363"," 0.3629786839","-0.217022395","-0.2326854304"," 0.052506073"," 0.223343629","-0.295197936","-0.22167348","-0.07919616","-0.157254289","-0.502590085"," 0.041741340"," 0.404895309"," 0.407237323","-0.1442935090","-0.266143226","-0.271607077"," 0.171522379","-0.42379332","-0.147470106"," 0.3114165011"," 0.155024473","-0.167358371"," 0.062136844","-0.3785843486","-0.292890226"," 0.088732827"," 0.697154160","-0.7006300639"," 0.412760235"," 0.1407920300","-0.034307608"," 0.513769332","-0.3260964084",1,1,"HDA"
"HDATP3.3"," 0.256021011"," 0.19817313","-0.585080019"," 0.075286479","-0.275179453"," 0.100085912"," 0.0128966301"," 0.017066044"," 0.235180556","-0.0787969064","-9.723738e-02"," 0.443242724","-2.633426e-02"," 0.37343813"," 0.235891282"," 0.506473231","-0.02917177"," 0.0792783920","-0.225830187","-0.1609041078"," 0.089038824"," 0.156775836","-0.278265362"," 0.03050965","-0.03083242","-0.109557876","-0.297151491"," 0.215382680"," 0.565712033","-0.115858651","-0.0470686137","-0.261776637","-0.034485810"," 0.284936535","-0.22959708","-0.072106864"," 0.1975745634","-0.242252790","-0.177457330"," 0.086620046","-0.1634506603","-0.385966995"," 0.186669420"," 1.475181931","-0.4599556726"," 0.173661835","-0.1349246735"," 0.046305963"," 0.231472004","-0.4245738873",1,1,"HDA"
"ACTTP1"," 0.099714810"," 0.20795556","-0.120705055"," 0.090494364"," 0.159182485"," 0.003673133"," 0.0659683970"," 0.334866878"," 0.193954445","-0.2667900881"," 9.973085e-02"," 0.091843058","-6.456441e-02","-0.72307727"," 0.058758380"," 0.416773959"," 0.54400965","-0.1375425846"," 0.218046497","-0.4502181951"," 0.094298509"," 0.452563391","-0.465218240"," 0.29621689"," 0.20618192","-0.086559267","-0.359666898","-0.091653215","-0.308834917"," 0.346979140","-0.2959197485","-0.301210567"," 0.498473689","-0.217367452","-0.23038200"," 0.371603352","-0.2977171072","-0.406401629"," 0.803219664","-6.183791401","-0.3204970310"," 0.066063032"," 0.166795968"," 0.147637208","-0.2855442308","-0.007333311","-0.1605330262"," 5.169503483"," 0.461946325"," 0.0392115457",2,2,"ACTd"
"ACTTP2","-0.331436344","-0.28549264"," 0.091426207","-0.162662785","-0.394066193"," 0.119321070"," 0.8222717733"," 0.304380160"," 0.196059729"," 0.1899025226"," 4.510038e-01"," 1.124838201"," 2.301977e-01","-0.15494751"," 0.565723851"," 0.739460338","-0.30274288","-0.3281281609","-0.043037473","-0.1818236578"," 0.226173758"," 0.224362210","-0.006808500","-0.56692329","-0.11805469"," 0.433886705"," 0.552425148","-0.142608439","-0.535363640","-0.107601058","-0.4457109033"," 0.634282497"," 0.525891603","-6.176028104"," 0.19230830","-0.462228489","-0.1599634264","-0.426614334"," 0.127128356","-0.159726077"," 0.1003543284","-0.145734076"," 0.325087233","-1.552235539"," 0.5994051494"," 0.069631995","-0.4246339569"," 5.997942107","-0.077739651","-0.2736963897",2,2,"ACTd"
"ACTTP3","-0.030341147","-0.15475977","-0.199208135","-0.481124063"," 0.065647051","-0.001960891","-0.1822575948"," 0.440726103"," 0.044743722","-0.0250411652"," 7.059190e-01"," 0.077163813"," 5.073681e-01","-0.42956604","-0.748118486"," 0.730064475","-0.62953485","-0.3730839028","-0.001583855","-0.0561970055"," 0.070678577","-0.226357033","-0.011000116","-0.40374009","-0.45568213"," 0.048219052"," 0.367586442"," 0.089384138"," 0.122444665"," 0.614331728"," 0.2346743051","-0.567633042"," 0.772520055","-5.705336255","-0.32470472","-0.045344622","-0.1839630876","-0.304255988"," 0.045918073"," 0.178574841","-0.8704659609"," 0.371032342"," 0.215742456","-0.623238744"," 0.4578829735"," 0.466539770"," 0.1273770879"," 1.710664889"," 0.440850715"," 0.7376116891",2,2,"ACTd"
"ACTTP4","-0.436293317","-0.21598459","-0.304166557","-0.317715455","-0.901170795","-0.390857919","-0.4702473797"," 0.198082830"," 0.023136419","-0.3483381201"," 9.270898e-01","-0.002367864"," 6.916912e-01"," 0.65874303"," 0.119066866"," 0.122386706","-0.30005961","-0.4885803176"," 0.046531070"," 0.1228238973","-0.017288375","-0.007060612"," 0.117741607","-0.86964723","-0.02000143"," 0.047717793"," 0.943819064","-0.508545720","-0.831785229"," 0.823804100"," 0.3940303423","-0.491856111"," 0.627438977"," 0.582676216"," 0.50405548","-0.403076390","-0.9761859059","-0.495965000"," 0.068443434","-4.965199369","-0.7022127800","-0.176488501"," 0.226389489","-0.068088641"," 0.0065862326"," 0.399245937"," 0.1046571388","-0.001024285"," 0.791864713"," 0.7244140186",2,2,"ACTd"
