"","MAL13P1.124","MAL13P1.135","MAL13P1.137","MAL13P1.206","MAL13P1.262","MAL13P1.322","MAL13P1.338","MAL13P1.40","MAL7P1.18","MAL8P1.105","MAL8P1.132","MAL8P1.91","PF07_0074","PF07_0079","PF08_0032","PF08_0069","PF10_0020","PF10_0085","PF10_0111","PF10_0132","PF10_0136","PF10_0152","PF10_0163","PF10_0191","PF10_0243","PF10_0299","PF10_0307","PF10_0374","PF10_0380","PF11_0090","PF11_0162","PF11_0214","PF11_0290","PF11_0348","PF11_0435","PF11_0527","PF13_0032","PF13_0042","PF13_0095","PF13_0135","PF13_0137","PF13_0170","PF13_0350","PF14_0041","PF14_0112","PF14_0138","PF14_0214","PF14_0238","PF14_0249","PF14_0360","PF14_0384","PF14_0499","PF14_0562","PF14_0593","PF14_0642","PF14_0713","PF14_0719","PFA0180w","PFA0430c","PFB0175c","PFB0270w","PFB0295w","PFB0590w","PFB0923c","PFC0090w","PFC0100c","PFC0375c","PFC0400w","PFC0440c","PFC0760c","PFC0980c","PFD0470c","PFE0165w","PFE0430w","PFE0450w","PFE0585c","PFE0815w","PFE1280w","PFE1340w","PFF0200c","PFF0610c","PFF0690c","PFF0875w","PFF0965c","PFF1150w","PFF1280w","PFI0500w","PFI0905w","PFI0965w","PFI1425w","PFL0580w","PFL0625c","PFL0685w","PFL0980w","PFL1135c","PFL1270w","PFL1680w","PFL2055w","PFL2200w","PFL2485c","D_class","Class","Compound"
"HDATP1"," 0.433662985"," 0.333607833"," 0.316768853"," 0.41888770","-0.3671411713","-0.8733616835"," 1.023881867"," 0.197657333"," 1.187050882"," 0.101708435"," 0.7996905538","-0.246259324","-0.389071015","-0.476881798","-0.3915275306"," 0.069507000"," 0.2426192636","-0.273064257","-1.487559756","-0.1952969303","-0.4345930385","-0.511115266"," 0.205126619"," 1.120162412","-1.017124865","-0.612714078"," 0.290570586"," 0.360651106"," 1.4315410712"," 0.254037630","-0.516830830","-0.203295425"," 0.668513304","-0.134535749","-0.308104350"," 0.79786161"," 0.201150734","-0.6758693233","-0.80491905","-0.4743651150"," 1.5164228459"," 0.317417156"," 0.026982336"," 1.152399519"," 4.570213e-02","-0.252946897"," 0.5774690671"," 0.139804803"," 0.593256354"," 0.789741460"," 0.637680823","-0.368592920","-0.37932014","-0.3077459455","-1.038829259"," 0.620033954","-0.3580350006"," 0.272158577"," 0.613968367","-0.580679770","-0.769147594"," 0.4137182599","-0.894046629"," 2.401440831"," 0.746242952"," 0.504873825","-1.469760319"," 0.325972146","-0.635850613","-0.005928679","-0.662031167","-0.253557920"," 0.880615369","-0.222908349","-0.593935729","-0.3038339418"," 0.674259154","-1.365175371","-1.633028e-01"," 0.39835576"," 0.330104665"," 0.221398250"," 0.3563599044","-0.478279948"," 0.421092401","-0.635553305","-0.766755142"," 1.593103481","-0.203040719","-0.208201919","-0.611344225"," 0.33561588","-1.086363805"," 0.5517402881","-0.584922314","-0.534518458","-0.287009964","-0.413034542"," 1.30768437","-0.1255517648",1,1,"HDA"
"HDATP1.1"," 0.280499154"," 0.344790357"," 0.141389427","-0.41935989","-0.2894859560","-0.0969238797"," 0.083299835"," 0.053784485","-0.058054760"," 0.247659432","-0.0429221713","-0.050618873","-0.111138149","-0.404694992","-0.5416710351"," 0.314717021"," 0.1759299612","-0.127049693","-0.633727446"," 0.2250786371","-0.0901293414"," 0.116000722"," 0.104762398"," 0.389736784","-0.096656294","-0.195080566","-0.059262556","-0.192086718"," 0.0837970515"," 0.187614253","-0.523295718","-0.442711350"," 0.574073188"," 0.255005846"," 0.329926137"," 0.48435463"," 0.466493970","-0.3788267136","-0.10213417","-0.5164356734","-0.1667493669"," 0.387759870","-0.293308069"," 0.478455893"," 4.050540e-01","-0.356072687","-0.4240726251","-0.683072225","-0.335880142"," 0.479811389","-0.160021922"," 0.207672998","-0.69809266","-0.0812724550","-0.634430446"," 0.397851621","-0.3573293118"," 0.281763215"," 0.463856459","-0.576323564","-0.098246854"," 0.5397152189","-0.124773651"," 1.106847570"," 0.451847455","-0.688752843","-0.173469224","-0.238625189","-0.150602599"," 0.206776190","-0.358091435","-0.030586764"," 0.770591714","-0.014381658","-0.298466210","-0.0445760667","-0.258748444","-0.564258305"," 1.190556e-02","-0.05209524"," 0.001531456","-0.096069800"," 0.4983639547","-0.148950566","-0.415638803","-1.008338781"," 0.227032531","-0.135383879","-0.272225363"," 0.264110179"," 0.040175970"," 0.56634616","-1.076405858"," 0.3435997486","-0.209920551","-0.106395028","-0.298602946","-0.181543288"," 0.29301562","-0.2802711407",1,1,"HDA"
"HDATP2"," 0.048089475","-0.095521026"," 0.273474890"," 0.18569011","-0.1402458472","-0.4770842321"," 0.339561647"," 0.518038152"," 0.657141006"," 0.191455976"," 0.7568478294"," 0.002630108","-0.626236412","-0.378445032","-0.3069392302"," 0.715785438"," 0.5169728798","-0.035496543","-0.876430172"," 0.2374991881","-0.7720828886","-0.813540473"," 0.302153605"," 0.511221158","-0.897326712","-0.648342596","-0.340149422"," 0.336350326"," 1.3323421333"," 0.344270716","-0.325536560","-0.673523934"," 0.895404992"," 0.272995572","-0.491562924"," 1.04950887"," 0.166184429","-1.1238160626","-0.08537403","-0.9520929685"," 1.1267684990"," 0.126651284"," 0.265308051"," 0.773674180"," 2.585260e-01","-0.597701665"," 0.6843744292","-0.286464150"," 0.380107614"," 0.917575474"," 0.391700240","-0.093617917"," 0.12098367","-0.2071628043","-1.006491060"," 0.474317856","-0.2093895864","-0.123587473","-0.010116251","-0.492138701","-0.185974961"," 0.6124485833","-0.647870981"," 1.929869114"," 0.321200863","-0.109645106","-1.793121727"," 0.085675271","-0.805255207","-0.177801575","-0.968685198","-0.267457132"," 0.797107494","-0.053630205","-0.443509705"," 0.1671929089"," 0.396614609","-1.125006747","-7.917846e-02"," 0.34289732","-0.027247997"," 0.422418726"," 0.3361640448","-0.702122986"," 0.100165532","-0.333904415","-0.645084685"," 0.360330269"," 0.043517111","-0.312134671","-0.345528719"," 0.32476538","-0.961639700"," 0.2419656299","-0.428029620","-0.032235632","-0.396683928","-0.272233055"," 0.64507826","-0.0751156651",1,1,"HDA"
"HDATP2.2"," 0.140786520"," 0.185523650"," 0.107947623","-0.30096464"," 0.0197604449"," 0.0840216291","-0.091871244","-0.446979072","-0.261872206"," 0.072718782","-0.1836287404","-0.152252745"," 0.183895550","-0.441268762","-0.2351383049"," 0.225225329","-0.1991513180","-0.279269561","-0.852838207"," 0.1008811098","-0.1417175085"," 0.292098965","-0.162526174"," 0.265648614"," 0.109974571","-0.033237979"," 0.111735952","-0.583802270","-0.1276682610"," 0.188847148","-0.549825769","-0.384945457"," 0.292268026"," 0.019243731"," 0.326038814"," 0.22345964"," 0.408103549"," 0.0723838220"," 0.01037766","-0.1065851679"," 0.0243161945"," 0.327736655","-0.152771585"," 0.154814107"," 2.681862e-01","-0.255102061","-0.7347742183","-0.360382903","-0.331090014"," 0.212235510"," 0.199437297"," 0.189588333","-0.73105262"," 0.0087855788","-0.288439576"," 0.142750514","-0.4581490965"," 0.332428351"," 0.362664113","-0.353704413","-0.048090522"," 0.3496740876"," 0.049433993"," 0.545581697"," 0.295832531"," 0.247573433"," 0.114707604","-0.407308948"," 0.169979148"," 0.290240110"," 0.156792124"," 0.145920192"," 0.578470147"," 0.063478788","-0.003735549","-0.1254567003","-0.549648851","-0.564096538","-1.474216e-03","-0.03864190"," 0.088294448","-0.165767225"," 0.3986275880","-0.108909882","-0.308264460","-0.533089422"," 0.200793764","-0.331175950","-0.227883515"," 0.316519203"," 0.097326640"," 0.45932236","-0.427052387"," 0.3538890494","-0.160136488","-0.498648135","-0.146389704","-0.371966641"," 0.17463479"," 0.0259383260",1,1,"HDA"
"HDATP3"," 0.138395010"," 0.614456256","-0.145917703","-0.09165820","-0.1497778116"," 0.4447515649"," 0.211582515","-0.117967805","-0.166752192"," 0.345615962"," 0.3336357655"," 0.062079038","-0.060321485","-0.467867465","-0.1134510308"," 0.432631247","-0.0332580248","-0.396716743","-0.760770922"," 0.0989071261","-0.4824533667"," 0.243528563"," 0.010007196","-0.413850895","-0.247113273","-0.140787114"," 0.077630772"," 0.299636637","-0.4629091669"," 0.225334211","-0.370204638"," 0.097135830"," 0.809560808","-0.055705480"," 0.066694768"," 0.57564540"," 0.091114282","-0.0917317207"," 0.39657541","-0.3832748625"," 0.3962719695"," 0.600264820","-0.508417097"," 0.237912064","-2.393189e-02","-0.291155074","-0.0729155267","-0.217022395","-0.227576211"," 0.590943393"," 0.013508911","-0.138021314","-0.21002078"," 0.1612558049","-0.295197936"," 0.031763690","-0.5005300206","-0.036707834"," 0.102950371","-0.887127238","-0.228469099"," 0.6481549987","-0.214155438"," 0.408612360"," 0.404895309"," 0.214091307","-0.111828583","-0.549613356","-0.068570479"," 0.217844716","-0.231474505"," 0.082196575"," 0.599975750","-0.352555848","-0.224811295","-0.0154585215","-0.167398141","-0.441467308"," 6.563746e-02","-0.42379332","-0.147470106"," 0.117641230"," 0.3114165011","-0.273132967","-0.167358371","-0.015863803"," 0.103863687"," 0.224093161","-0.129135595"," 0.149963587"," 0.133635142","-0.32620535","-0.410395946"," 0.4458053759","-0.334616130","-0.149049785","-0.030205279","-0.296141523"," 0.11691643"," 0.2333373606",1,1,"HDA"
"HDATP3.3","-0.054201196"," 0.012306344","-0.092838517","-0.08781566","-0.1290632515","-0.1326543574"," 0.168173483","-0.142895133","-0.585080019"," 0.256522535","-0.2216848820"," 0.012700692"," 0.156994231","-0.554104849","-0.1269314880"," 0.135555931"," 0.1486654693","-0.261463853","-0.606772983"," 0.0184886517","-0.3756911152"," 0.333553790","-0.095800073","-0.012811374","-0.060083708","-0.265761134"," 0.071073564"," 0.235180556","-0.1013818902","-0.015290308","-0.414262924","-0.181908677"," 0.317616432"," 0.191501597"," 0.240540678"," 0.37343813"," 0.222055543","-0.2885649747"," 0.05478049","-0.1436327408"," 0.1323577017"," 0.090393441","-0.078180725"," 0.519129100"," 3.460524e-02","-0.560246633","-0.0970430449","-0.225830187","-0.370223337"," 0.328289270","-0.437687994"," 0.185642985","-0.53654955"," 0.0304369571","-0.278265362"," 0.244406860","-0.5011821084"," 0.187881056"," 0.180656612","-0.682325553"," 0.049101672"," 0.2100477968","-0.232029962"," 0.455580717"," 0.565712033"," 0.330466091"," 0.007083550","-0.498981075"," 0.009833355","-0.024300364","-0.201158224"," 0.245310110"," 0.471157589","-0.275298057","-0.404357832"," 0.1363015972","-0.255129742","-0.504903578","-4.188021e-02","-0.22959708","-0.072106864","-0.229008936"," 0.1975745634"," 0.077842944","-0.177457330","-0.855607358"," 0.294906495"," 0.150134734","-0.275281777"," 0.542456260"," 0.091309016"," 0.42960609","-0.699591230"," 0.3914518666","-0.295694632","-0.343299257","-0.096229913","-0.254091796"," 0.60405988"," 0.0560867435",1,1,"HDA"
"ACTTP1"," 0.202264094"," 0.141890659","-0.038147474"," 0.17112167"," 0.3877332147","-0.2441456393","-0.610453948"," 0.371335934","-0.120705055"," 0.229049271","-0.5228678472","-0.219858887","-0.091782120"," 0.131030759","-1.2714800299","-0.252399722"," 0.3664804498","-0.184103760","-0.609712455","-0.0699708389"," 0.7218219821","-0.177449545","-0.469883328"," 0.443604036"," 0.079297238"," 1.172330314"," 0.675116285"," 0.193954445"," 0.3631620477"," 0.184804187","-0.235787031","-0.003324658","-0.009197840","-0.035997841"," 0.240826377","-0.72307727","-0.763157584","-0.2117636058"," 0.24425936"," 0.2063098269","-0.5995011482"," 0.166078215"," 0.446131200"," 0.428941401","-7.380054e-05"," 0.308130846"," 0.0157864428"," 0.218046497","-0.163164379"," 0.189556861"," 0.162229304"," 0.087421418","-0.32933728","-0.4054104938","-0.465218240"," 0.164831810"," 0.0762081898","-0.267874118"," 0.408632402"," 0.276849885"," 0.620675230","-0.1999888999","-0.037002962"," 1.010585923","-0.308834917"," 0.691680771","-0.211725982","-0.174481381"," 0.031693288","-0.663367371","-0.024164152"," 0.125725619"," 0.052327009","-0.008737414","-0.083220159","-0.0519485032","-0.231498675"," 0.387670853","-1.711199e-01","-0.23038200"," 0.371603352"," 0.267242485","-0.2977171072"," 0.229857353"," 0.803219664"," 0.086195238","-0.047314096"," 0.390442036","-0.456082939"," 0.068353654","-0.064025358","-0.05005858"," 0.223431949"," 0.3704789272","-0.032204790","-0.088109142"," 0.016891962","-0.156420851"," 0.22426203","-0.1065191181",2,2,"ACTd"
"ACTTP2","-0.516225196","-0.558822700"," 0.449399563","-0.43599932"," 0.5074935419","-0.0999176690"," 0.341163147","-0.221771348"," 0.091426207","-0.686272030","-0.0462571689","-1.298251225"," 0.408005432"," 0.005374384","-0.8500083553","-0.122572136","-0.5286948481","-0.066589012","-0.689272531","-0.0709397222"," 0.3438391648"," 0.499363458"," 0.421225777"," 0.713311372"," 0.140133175","-0.102451186"," 1.261926559"," 0.196059729"," 1.4046992539"," 0.331770895"," 0.432540499"," 0.181163489"," 0.088458114"," 0.389936478"," 0.137528182","-0.15494751","-0.081602112","-0.3321255823","-0.10529164","-0.1257123412"," 0.2948070935"," 0.026828976"," 0.365926275","-0.076521793"," 3.799954e-01"," 1.461790073","-0.5948214967","-0.043037473"," 0.208662767","-0.310712634"," 0.080652515","-0.136357538"," 0.24891658","-0.3738045995","-0.006808500","-0.274203555"," 0.0819345616"," 0.268160733"," 0.318692310"," 0.555965955","-0.320363762","-0.3646658101","-0.011216982"," 1.029162012","-0.535363640"," 0.001516877"," 0.250690387"," 0.822321581","-0.006611051","-0.325205250"," 0.579164217"," 0.624834718","-0.028936559"," 0.513967092"," 0.086051965","-0.5927841970"," 0.137784124","-0.263355253"," 5.419662e-02"," 0.19230830","-0.462228489","-0.326204075","-0.1599634264","-0.139954989"," 0.127128356","-0.132768927"," 0.128055865","-0.114685320"," 0.192527318","-0.232705155","-0.170197943","-0.03751069","-0.462015464"," 0.2917871906","-0.305739662","-0.133486816","-0.053702202","-0.218710957","-0.10447507"," 0.2507461935",2,2,"ACTd"
"ACTTP3","-0.427260943","-0.863228958"," 0.389143838","-0.30056712"," 0.7990526794"," 0.0588069421","-0.048089353"," 0.333498219","-0.199208135","-0.195579550","-0.0644511628","-0.369727489"," 0.107888686","-0.681997727","-0.6427313060"," 0.148947877"," 0.1713181810"," 0.079842310","-0.587621610"," 0.1477499331"," 0.3154353387","-0.074657958","-0.101850575"," 1.671645560","-0.172911274"," 0.994013244"," 0.921505529"," 0.044743722"," 0.7481614865"," 0.410518337","-0.103406810","-0.033592423","-0.409861874","-0.007246152"," 0.815280224","-0.42956604"," 0.484218778","-0.1799733011"," 0.08971356","-0.1848522310","-0.0548092492"," 0.057951347"," 0.570422826"," 0.350603527"," 2.849938e-01","-0.230254749"," 0.0261267177","-0.001583855","-0.049298113","-0.078109948"," 0.960883495"," 0.901941267","-0.69200239","-0.5771330069","-0.011000116","-0.070902547"," 0.1135519431"," 0.469568554"," 0.663982850"," 0.375804772"," 0.332240586"," 0.2542751270","-0.628570736"," 1.373788558"," 0.122444665"," 0.343024410"," 0.221261188","-0.286903536","-0.145069939"," 0.055098121"," 0.127187933","-0.137897916","-0.100173613"," 0.243268039"," 0.264957997","-0.2695612433","-0.097697549","-0.517773150","-3.024591e-01","-0.32470472","-0.045344622","-0.228922916","-0.1839630876","-0.028275360"," 0.045918073","-0.263698745"," 0.289986370","-0.135086451"," 0.203090941","-0.025116190","-0.274986334"," 0.14242765","-0.900634434","-0.1206258041","-0.202194672","-0.231129462"," 0.235853715","-1.144299839"," 0.27599636","-0.1199714786",2,2,"ACTd"
"ACTTP4"," 0.061328012","-0.791935119"," 0.128876445","-0.57964395"," 0.7683048076"," 0.1681628593"," 0.373362851"," 0.144103224","-0.304166557","-0.092724707","-0.3065212778","-0.625653241","-0.450211569","-0.057208533","-0.5183377581","-0.615295786","-0.1061065372"," 0.385496495","-0.338768202","-0.2629717140"," 0.5667409353","-0.321561542","-1.075970254"," 1.595284514","-0.653733681"," 0.869955936"," 0.686265085"," 0.023136419"," 1.1835692659"," 0.173927058","-0.195246744"," 0.453495762","-0.605867636","-0.176551298"," 0.502594695"," 0.65874303"," 0.231544036"," 0.1581472761","-0.11671821","-0.0679262249"," 0.2389681096","-0.335294876"," 0.148977895","-0.122995618","-1.554440e-01","-3.237151184","-0.1100961750"," 0.046531070"," 0.453858521","-0.372843031"," 1.108010815"," 0.327032008"," 0.62162355"," 0.0645917702"," 0.117741607","-0.396171107"," 0.1708798346"," 0.633926131"," 0.737625979"," 0.702184741","-0.762976286","-0.0435794938","-0.400045183"," 2.166414371","-0.831785229"," 0.802711490","-0.154242665"," 0.583532321"," 0.037925258"," 0.063397851"," 0.331188264","-0.235841689","-1.070786885"," 0.382978540"," 0.653691754","-0.4342814270","-0.019515594","-0.714992465"," 1.670119e-01"," 0.50405548","-0.403076390","-0.049457777","-0.9761859059","-0.226318937"," 0.068443434","-0.325758400","-0.005857111","-1.725562032"," 0.456502030","-0.929817595","-0.394823362"," 0.05331686","-0.867352265","-0.1164159106","-0.031757888","-0.386955734"," 0.124212164","-1.086733887","-0.13374600"," 0.3992742756",2,2,"ACTd"
