"","MAL13P1.124","MAL13P1.179","MAL13P1.206","MAL13P1.262","MAL7P1.171","MAL7P1.18","MAL7P1.75","MAL7P1.94","PF07_0074","PF10_0111","PF10_0374","PF11_0079","PF11_0087","PF11_0162","PF11_0214","PF11_0260","PF11_0290","PF11_0435","PF13_0032","PF13_0095","PF13_0170","PF13_0219","PF14_0071","PF14_0112","PF14_0593","PF14_0642","PF14_0713","PF14_0730","PFA0330w","PFB0295w","PFB0920w","PFC0090w","PFC0400w","PFC0760c","PFD0470c","PFE0165w","PFE0430w","PFE0450w","PFE0815w","PFE1280w","PFE1340w","PFE1390w","PFF0200c","PFF0875w","PFF0965c","PFF1150w","PFF1280w","PFL0580w","PFL2055w","PFL2200w","D_class","Class","Compound"
"HDATP1"," 0.433662985"," 0.5515956443"," 0.41888770","-0.3671411713"," 1.0986047434"," 1.187050882","-0.054218921","-0.457378200","-0.389071015","-1.487559756"," 0.360651106","-0.294204417"," 0.301635020","-0.516830830","-0.203295425","-0.0253834277"," 0.668513304","-0.308104350"," 0.201150734","-0.80491905"," 0.317417156"," 0.509321778","-0.2101276035"," 4.570213e-02","-0.3077459455","-1.038829259"," 0.620033954","-0.255077818","-0.001461922"," 0.4137182599"," 0.870640108"," 0.746242952"," 0.325972146","-0.005928679","-0.253557920"," 0.880615369","-0.222908349","-0.593935729"," 0.674259154","-1.365175371","-1.633028e-01"," 0.4444442211"," 0.39835576"," 0.3563599044","-0.478279948"," 0.421092401","-0.635553305","-0.611344225","-0.413034542"," 1.30768437",1,1,"HDA"
"HDATP1.1"," 0.280499154"," 0.1461847853","-0.41935989","-0.2894859560"," 0.7158679690","-0.058054760","-0.131819785","-0.522025311","-0.111138149","-0.633727446","-0.192086718"," 0.224010944"," 0.168115840","-0.523295718","-0.442711350","-0.1149349879"," 0.574073188"," 0.329926137"," 0.466493970","-0.10213417"," 0.387759870"," 0.325873840","-0.2766123472"," 4.050540e-01","-0.0812724550","-0.634430446"," 0.397851621","-0.705360715"," 0.256740357"," 0.5397152189"," 0.249238590"," 0.451847455","-0.238625189"," 0.206776190","-0.030586764"," 0.770591714","-0.014381658","-0.298466210","-0.258748444","-0.564258305"," 1.190556e-02"," 0.1748496199","-0.05209524"," 0.4983639547","-0.148950566","-0.415638803","-1.008338781"," 0.040175970","-0.181543288"," 0.29301562",1,1,"HDA"
"HDATP2"," 0.048089475"," 0.9930801433"," 0.18569011","-0.1402458472"," 1.0212943515"," 0.657141006"," 0.197998040","-0.496400129","-0.626236412","-0.876430172"," 0.336350326","-0.165898715"," 0.227377058","-0.325536560","-0.673523934","-0.2008701571"," 0.895404992","-0.491562924"," 0.166184429","-0.08537403"," 0.126651284"," 0.762477237","-0.0320706501"," 2.585260e-01","-0.2071628043","-1.006491060"," 0.474317856","-0.131707440","-0.379668486"," 0.6124485833"," 1.055087763"," 0.321200863"," 0.085675271","-0.177801575","-0.267457132"," 0.797107494","-0.053630205","-0.443509705"," 0.396614609","-1.125006747","-7.917846e-02"," 0.1410786752"," 0.34289732"," 0.3361640448","-0.702122986"," 0.100165532","-0.333904415","-0.345528719","-0.272233055"," 0.64507826",1,1,"HDA"
"HDATP2.2"," 0.140786520","-0.0869376888","-0.30096464"," 0.0197604449"," 0.6287404846","-0.261872206","-0.273809503","-0.416542136"," 0.183895550","-0.852838207","-0.583802270","-0.033178064"," 0.029850579","-0.549825769","-0.384945457","-0.0941353215"," 0.292268026"," 0.326038814"," 0.408103549"," 0.01037766"," 0.327736655"," 0.090720209","-0.3962903509"," 2.681862e-01"," 0.0087855788","-0.288439576"," 0.142750514","-0.639835157"," 0.470872460"," 0.3496740876"," 0.162085881"," 0.295832531","-0.407308948"," 0.290240110"," 0.145920192"," 0.578470147"," 0.063478788","-0.003735549","-0.549648851","-0.564096538","-1.474216e-03"," 0.1487170903","-0.03864190"," 0.3986275880","-0.108909882","-0.308264460","-0.533089422"," 0.097326640","-0.371966641"," 0.17463479",1,1,"HDA"
"HDATP3"," 0.138395010"," 0.1742445028","-0.09165820","-0.1497778116"," 0.3156029362","-0.166752192","-0.129954689","-0.343272557","-0.060321485","-0.760770922"," 0.299636637"," 0.069105998"," 0.038216343","-0.370204638"," 0.097135830","-0.5905272703"," 0.809560808"," 0.066694768"," 0.091114282"," 0.39657541"," 0.600264820"," 0.162140764","-0.1362982653","-2.393189e-02"," 0.1612558049","-0.295197936"," 0.031763690","-0.634904699"," 0.271075749"," 0.6481549987","-0.206905018"," 0.404895309","-0.549613356"," 0.217844716"," 0.082196575"," 0.599975750","-0.352555848","-0.224811295","-0.167398141","-0.441467308"," 6.563746e-02","-0.1240985853","-0.42379332"," 0.3114165011","-0.273132967","-0.167358371","-0.015863803"," 0.133635142","-0.296141523"," 0.11691643",1,1,"HDA"
"HDATP3.3","-0.054201196"," 0.0505991429","-0.08781566","-0.1290632515"," 0.4871663800","-0.585080019","-0.349566925","-0.398380811"," 0.156994231","-0.606772983"," 0.235180556"," 0.160004317"," 0.105608191","-0.414262924","-0.181908677","-0.2212965711"," 0.317616432"," 0.240540678"," 0.222055543"," 0.05478049"," 0.090393441"," 0.240992923","-0.2160239878"," 3.460524e-02"," 0.0304369571","-0.278265362"," 0.244406860","-0.908919612"," 0.393822862"," 0.2100477968","-0.120033313"," 0.565712033","-0.498981075","-0.024300364"," 0.245310110"," 0.471157589","-0.275298057","-0.404357832","-0.255129742","-0.504903578","-4.188021e-02"," 0.0877587268","-0.22959708"," 0.1975745634"," 0.077842944","-0.177457330","-0.855607358"," 0.091309016","-0.254091796"," 0.60405988",1,1,"HDA"
"ACTTP1"," 0.202264094"," 0.0434920475"," 0.17112167"," 0.3877332147"," 0.5289123976","-0.120705055","-0.820423906","-0.275225525","-0.091782120","-0.609712455"," 0.193954445"," 0.109697423"," 0.620290456","-0.235787031","-0.003324658"," 0.2869779368","-0.009197840"," 0.240826377","-0.763157584"," 0.24425936"," 0.166078215"," 0.327610209"," 0.4751231229","-7.380054e-05","-0.4054104938","-0.465218240"," 0.164831810","-0.518705977"," 0.092452247","-0.1999888999"," 0.037003421","-0.308834917","-0.174481381","-0.663367371"," 0.125725619"," 0.052327009","-0.008737414","-0.083220159","-0.231498675"," 0.387670853","-1.711199e-01","-0.0383707790","-0.23038200","-0.2977171072"," 0.229857353"," 0.803219664"," 0.086195238","-0.064025358","-0.156420851"," 0.22426203",2,2,"ACTd"
"ACTTP2","-0.516225196"," 0.4564693785","-0.43599932"," 0.5074935419"," 0.8395176549"," 0.091426207"," 0.408114538","-0.039491402"," 0.408005432","-0.689272531"," 0.196059729","-0.252069499","-0.221971960"," 0.432540499"," 0.181163489"," 0.5406945381"," 0.088458114"," 0.137528182","-0.081602112","-0.10529164"," 0.026828976","-0.080928775"," 0.6385050838"," 3.799954e-01","-0.3738045995","-0.006808500","-0.274203555"," 0.171843543","-0.532766521","-0.3646658101"," 0.040347006","-0.535363640"," 0.822321581","-0.325205250"," 0.624834718","-0.028936559"," 0.513967092"," 0.086051965"," 0.137784124","-0.263355253"," 5.419662e-02"," 0.8000469601"," 0.19230830","-0.1599634264","-0.139954989"," 0.127128356","-0.132768927","-0.170197943","-0.218710957","-0.10447507",2,2,"ACTd"
"ACTTP3","-0.427260943"," 0.0128850864","-0.30056712"," 0.7990526794"," 1.7138364861","-0.199208135","-0.220853391","-0.230819720"," 0.107888686","-0.587621610"," 0.044743722","-0.211682415"," 0.850917394","-0.103406810","-0.033592423","-0.4169283821","-0.409861874"," 0.815280224"," 0.484218778"," 0.08971356"," 0.057951347"," 0.519285891","-0.2516767123"," 2.849938e-01","-0.5771330069","-0.011000116","-0.070902547"," 1.128508797"," 0.293640542"," 0.2542751270","-0.226985499"," 0.122444665","-0.286903536"," 0.055098121","-0.137897916","-0.100173613"," 0.243268039"," 0.264957997","-0.097697549","-0.517773150","-3.024591e-01"," 0.0393737712","-0.32470472","-0.1839630876","-0.028275360"," 0.045918073","-0.263698745","-0.274986334","-1.144299839"," 0.27599636",2,2,"ACTd"
"ACTTP4"," 0.061328012"," 0.8316955429","-0.57964395"," 0.7683048076"," 2.0315786669","-0.304166557","-0.204925245","-0.542966036","-0.450211569","-0.338768202"," 0.023136419","-0.699352264"," 0.681495240","-0.195246744"," 0.453495762"," 0.2242594186","-0.605867636"," 0.502594695"," 0.231544036","-0.11671821","-0.335294876"," 0.382644153"," 0.2082600495","-1.554440e-01"," 0.0645917702"," 0.117741607","-0.396171107"," 1.910645734"," 0.031444066","-0.0435794938"," 1.649281812","-0.831785229"," 0.583532321"," 0.063397851","-0.235841689","-1.070786885"," 0.382978540"," 0.653691754","-0.019515594","-0.714992465"," 1.670119e-01"," 0.1564631947"," 0.50405548","-0.9761859059","-0.226318937"," 0.068443434","-0.325758400","-0.394823362","-1.086733887","-0.13374600",2,2,"ACTd"
